capability_id,capability_name,capability_type,description,responsible_unit,available_resources,application_domains,maturity_level,status
CAP-001,Internet de las Cosas — capacidad 01,LABORATORY,Capacidad institucional para internet de las cosas aplicada a problemas de salud.,FAC-001,personal especializado; infraestructura; herramientas,salud; ambiente,3,ACTIVE
CAP-002,Analítica y Ciencia de Datos — capacidad 02,COMPUTATIONAL,Capacidad institucional para analítica y ciencia de datos aplicada a problemas de educación.,FAC-002,personal especializado; infraestructura; herramientas,educación; finanzas,4,ACTIVE
CAP-003,Bioinstrumentación — capacidad 03,DATA,Capacidad institucional para bioinstrumentación aplicada a problemas de ambiente.,FAC-003,personal especializado; infraestructura; herramientas,ambiente; industria,5,ACTIVE
CAP-004,Calidad de Agua — capacidad 04,METHODOLOGICAL,Capacidad institucional para calidad de agua aplicada a problemas de finanzas.,FAC-004,personal especializado; infraestructura; herramientas,finanzas; territorio,3,ACTIVE
CAP-005,Analítica Académica — capacidad 05,TECHNOLOGICAL,Capacidad institucional para analítica académica aplicada a problemas de industria.,FAC-005,personal especializado; infraestructura; herramientas,industria; energía,4,ACTIVE
CAP-006,Cómputo de Alto Rendimiento — capacidad 06,INFRASTRUCTURE,Capacidad institucional para cómputo de alto rendimiento aplicada a problemas de territorio.,FAC-006,personal especializado; infraestructura; herramientas,territorio; software,5,ACTIVE
CAP-007,Seguridad Digital — capacidad 07,HUMAN,Capacidad institucional para seguridad digital aplicada a problemas de energía.,FAC-001,personal especializado; infraestructura; herramientas,energía; salud,3,ACTIVE
CAP-008,Instrumentación Física — capacidad 08,LABORATORY,Capacidad institucional para instrumentación física aplicada a problemas de software.,FAC-002,personal especializado; infraestructura; herramientas,software; educación,4,ACTIVE
CAP-009,Simulación Clínica — capacidad 09,COMPUTATIONAL,Capacidad institucional para simulación clínica aplicada a problemas de salud.,FAC-003,personal especializado; infraestructura; herramientas,salud; ambiente,5,ACTIVE
CAP-010,Desarrollo Regional — capacidad 10,DATA,Capacidad institucional para desarrollo regional aplicada a problemas de educación.,FAC-004,personal especializado; infraestructura; herramientas,educación; finanzas,3,ACTIVE
CAP-011,Innovación Educativa — capacidad 11,METHODOLOGICAL,Capacidad institucional para innovación educativa aplicada a problemas de ambiente.,FAC-005,personal especializado; infraestructura; herramientas,ambiente; industria,4,ACTIVE
CAP-012,Infraestructura Inteligente — capacidad 12,TECHNOLOGICAL,Capacidad institucional para infraestructura inteligente aplicada a problemas de finanzas.,FAC-006,personal especializado; infraestructura; herramientas,finanzas; territorio,5,ACTIVE
CAP-013,Internet de las Cosas — capacidad 13,INFRASTRUCTURE,Capacidad institucional para internet de las cosas aplicada a problemas de industria.,FAC-001,personal especializado; infraestructura; herramientas,industria; energía,3,ACTIVE
CAP-014,Analítica y Ciencia de Datos — capacidad 14,HUMAN,Capacidad institucional para analítica y ciencia de datos aplicada a problemas de territorio.,FAC-002,personal especializado; infraestructura; herramientas,territorio; software,4,ACTIVE
CAP-015,Bioinstrumentación — capacidad 15,LABORATORY,Capacidad institucional para bioinstrumentación aplicada a problemas de energía.,FAC-003,personal especializado; infraestructura; herramientas,energía; salud,5,ACTIVE
CAP-016,Calidad de Agua — capacidad 16,COMPUTATIONAL,Capacidad institucional para calidad de agua aplicada a problemas de software.,FAC-004,personal especializado; infraestructura; herramientas,software; educación,3,ACTIVE
CAP-017,Analítica Académica — capacidad 17,DATA,Capacidad institucional para analítica académica aplicada a problemas de salud.,FAC-005,personal especializado; infraestructura; herramientas,salud; ambiente,4,ACTIVE
CAP-018,Cómputo de Alto Rendimiento — capacidad 18,METHODOLOGICAL,Capacidad institucional para cómputo de alto rendimiento aplicada a problemas de educación.,FAC-006,personal especializado; infraestructura; herramientas,educación; finanzas,5,ACTIVE
CAP-019,Seguridad Digital — capacidad 19,TECHNOLOGICAL,Capacidad institucional para seguridad digital aplicada a problemas de ambiente.,FAC-001,personal especializado; infraestructura; herramientas,ambiente; industria,3,ACTIVE
CAP-020,Instrumentación Física — capacidad 20,INFRASTRUCTURE,Capacidad institucional para instrumentación física aplicada a problemas de finanzas.,FAC-002,personal especializado; infraestructura; herramientas,finanzas; territorio,4,ACTIVE
CAP-021,Simulación Clínica — capacidad 21,HUMAN,Capacidad institucional para simulación clínica aplicada a problemas de industria.,FAC-003,personal especializado; infraestructura; herramientas,industria; energía,5,ACTIVE
CAP-022,Desarrollo Regional — capacidad 22,LABORATORY,Capacidad institucional para desarrollo regional aplicada a problemas de territorio.,FAC-004,personal especializado; infraestructura; herramientas,territorio; software,3,ACTIVE
CAP-023,Innovación Educativa — capacidad 23,COMPUTATIONAL,Capacidad institucional para innovación educativa aplicada a problemas de energía.,FAC-005,personal especializado; infraestructura; herramientas,energía; salud,4,ACTIVE
CAP-024,Infraestructura Inteligente — capacidad 24,DATA,Capacidad institucional para infraestructura inteligente aplicada a problemas de software.,FAC-006,personal especializado; infraestructura; herramientas,software; educación,5,ACTIVE
CAP-025,Internet de las Cosas — capacidad 25,METHODOLOGICAL,Capacidad institucional para internet de las cosas aplicada a problemas de salud.,FAC-001,personal especializado; infraestructura; herramientas,salud; ambiente,3,ACTIVE
CAP-026,Analítica y Ciencia de Datos — capacidad 26,TECHNOLOGICAL,Capacidad institucional para analítica y ciencia de datos aplicada a problemas de educación.,FAC-002,personal especializado; infraestructura; herramientas,educación; finanzas,4,ACTIVE
CAP-027,Bioinstrumentación — capacidad 27,INFRASTRUCTURE,Capacidad institucional para bioinstrumentación aplicada a problemas de ambiente.,FAC-003,personal especializado; infraestructura; herramientas,ambiente; industria,5,ACTIVE
