program_id,faculty_id,program_name,academic_level,description,disciplinary_area,graduate_profile,strategic_topics,active
PRG-001,FAC-001,Ingeniería de Sistemas,Pregrado,"Programa de Ingeniería de Sistemas orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",de Sistemas,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en ingeniería de sistemas.,Investigación aplicada; innovación; transformación institucional,True
PRG-002,FAC-001,Ingeniería Electrónica,Pregrado,"Programa de Ingeniería Electrónica orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Electrónica,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en ingeniería electrónica.,Investigación aplicada; innovación; transformación institucional,True
PRG-003,FAC-001,Ingeniería Industrial,Pregrado,"Programa de Ingeniería Industrial orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Industrial,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en ingeniería industrial.,Investigación aplicada; innovación; transformación institucional,True
PRG-004,FAC-002,Medicina,Pregrado,"Programa de Medicina orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Medicina,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en medicina.,Investigación aplicada; innovación; transformación institucional,True
PRG-005,FAC-002,Enfermería,Pregrado,"Programa de Enfermería orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Enfermería,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en enfermería.,Investigación aplicada; innovación; transformación institucional,True
PRG-006,FAC-002,Seguridad y Salud en el Trabajo,Pregrado,"Programa de Seguridad y Salud en el Trabajo orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Seguridad y Salud en el Trabajo,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en seguridad y salud en el trabajo.,Investigación aplicada; innovación; transformación institucional,True
PRG-007,FAC-003,Administración de Empresas,Pregrado,"Programa de Administración de Empresas orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Administración de Empresas,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en administración de empresas.,Investigación aplicada; innovación; transformación institucional,True
PRG-008,FAC-003,Ingeniería Financiera,Pregrado,"Programa de Ingeniería Financiera orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Financiera,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en ingeniería financiera.,Investigación aplicada; innovación; transformación institucional,True
PRG-009,FAC-003,Economía,Pregrado,"Programa de Economía orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Economía,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en economía.,Investigación aplicada; innovación; transformación institucional,True
PRG-010,FAC-004,Licenciatura en Tecnología e Informática,Pregrado,"Programa de Licenciatura en Tecnología e Informática orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Licenciatura en Tecnología e Informática,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en licenciatura en tecnología e informática.,Investigación aplicada; innovación; transformación institucional,True
PRG-011,FAC-004,Psicología,Pregrado,"Programa de Psicología orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Psicología,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en psicología.,Investigación aplicada; innovación; transformación institucional,True
PRG-012,FAC-004,Ciencias de la Educación,Pregrado,"Programa de Ciencias de la Educación orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Ciencias de la Educación,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en ciencias de la educación.,Investigación aplicada; innovación; transformación institucional,True
PRG-013,FAC-005,Ingeniería Ambiental,Pregrado,"Programa de Ingeniería Ambiental orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Ambiental,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en ingeniería ambiental.,Investigación aplicada; innovación; transformación institucional,True
PRG-014,FAC-005,Gestión Ambiental,Pregrado,"Programa de Gestión Ambiental orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Gestión Ambiental,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en gestión ambiental.,Investigación aplicada; innovación; transformación institucional,True
PRG-015,FAC-005,Ingeniería Civil,Pregrado,"Programa de Ingeniería Civil orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Civil,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en ingeniería civil.,Investigación aplicada; innovación; transformación institucional,True
PRG-016,FAC-006,Matemáticas Aplicadas,Pregrado,"Programa de Matemáticas Aplicadas orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Matemáticas Aplicadas,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en matemáticas aplicadas.,Investigación aplicada; innovación; transformación institucional,True
PRG-017,FAC-006,Física,Pregrado,"Programa de Física orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Física,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en física.,Investigación aplicada; innovación; transformación institucional,True
PRG-018,FAC-006,Ciencia de Datos,Pregrado,"Programa de Ciencia de Datos orientado a investigación aplicada, innovación y resolución de problemas interdisciplinarios.",Ciencia de Datos,Profesional capaz de integrar evidencia y diseñar soluciones pertinentes en ciencia de datos.,Investigación aplicada; innovación; transformación institucional,True
