source_id,file_name,source_type,institutional_unit,description,update_year,reliability_level
SRC-001,faculties.csv,structured,Academic Affairs,Fuente institucional simulada.,2022,MEDIUM
SRC-002,programs.csv,structured,Research Office,Fuente institucional simulada.,2023,HIGH
SRC-003,research_groups.csv,structured,Academic Affairs,Fuente institucional simulada.,2024,HIGH
SRC-004,research_lines.csv,structured,Research Office,Fuente institucional simulada.,2025,MEDIUM
SRC-005,institutional_capabilities.csv,structured,Academic Affairs,Fuente institucional simulada.,2026,HIGH
SRC-006,faculties.csv,structured,Research Office,Fuente institucional simulada.,2022,HIGH
SRC-007,programs.csv,structured,Academic Affairs,Fuente institucional simulada.,2023,MEDIUM
SRC-008,research_groups.csv,structured,Research Office,Fuente institucional simulada.,2024,HIGH
SRC-009,research_lines.csv,structured,Academic Affairs,Fuente institucional simulada.,2025,HIGH
SRC-010,institutional_capabilities.csv,structured,Research Office,Fuente institucional simulada.,2026,MEDIUM
SRC-011,faculties.csv,structured,Academic Affairs,Fuente institucional simulada.,2022,HIGH
SRC-012,programs.csv,structured,Research Office,Fuente institucional simulada.,2023,HIGH
SRC-013,research_groups.csv,structured,Academic Affairs,Fuente institucional simulada.,2024,MEDIUM
SRC-014,research_lines.csv,structured,Research Office,Fuente institucional simulada.,2025,HIGH
SRC-015,institutional_capabilities.csv,structured,Academic Affairs,Fuente institucional simulada.,2026,HIGH
SRC-016,faculties.csv,structured,Research Office,Fuente institucional simulada.,2022,MEDIUM
SRC-017,programs.csv,structured,Academic Affairs,Fuente institucional simulada.,2023,HIGH
SRC-018,research_groups.csv,structured,Research Office,Fuente institucional simulada.,2024,HIGH
SRC-019,research_lines.csv,structured,Academic Affairs,Fuente institucional simulada.,2025,MEDIUM
SRC-020,institutional_capabilities.csv,structured,Research Office,Fuente institucional simulada.,2026,HIGH
SRC-021,faculties.csv,structured,Academic Affairs,Fuente institucional simulada.,2022,HIGH
SRC-022,programs.csv,structured,Research Office,Fuente institucional simulada.,2023,MEDIUM
SRC-023,research_groups.csv,structured,Academic Affairs,Fuente institucional simulada.,2024,HIGH
SRC-024,research_lines.csv,structured,Research Office,Fuente institucional simulada.,2025,HIGH
SRC-025,institutional_capabilities.csv,structured,Academic Affairs,Fuente institucional simulada.,2026,MEDIUM
SRC-026,faculties.csv,structured,Research Office,Fuente institucional simulada.,2022,HIGH
SRC-027,programs.csv,structured,Academic Affairs,Fuente institucional simulada.,2023,HIGH
SRC-028,research_groups.csv,structured,Research Office,Fuente institucional simulada.,2024,MEDIUM
SRC-029,research_lines.csv,structured,Academic Affairs,Fuente institucional simulada.,2025,HIGH
SRC-030,institutional_capabilities.csv,structured,Research Office,Fuente institucional simulada.,2026,HIGH
SRC-031,faculties.csv,structured,Academic Affairs,Fuente institucional simulada.,2022,MEDIUM
SRC-032,programs.csv,structured,Research Office,Fuente institucional simulada.,2023,HIGH
SRC-033,research_groups.csv,structured,Academic Affairs,Fuente institucional simulada.,2024,HIGH
SRC-034,research_lines.csv,structured,Research Office,Fuente institucional simulada.,2025,MEDIUM
SRC-035,institutional_capabilities.csv,structured,Academic Affairs,Fuente institucional simulada.,2026,HIGH
