competency_id,program_id,subject_id,competency_type,description
COM-0001,PRG-001,SUB-001,RESEARCH,"Analiza conceptos, datos y métodos de programación avanzada para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0002,PRG-001,SUB-001,PROFESSIONAL,"Integra conceptos, datos y métodos de programación avanzada para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0003,PRG-001,SUB-002,PROFESSIONAL,"Analiza conceptos, datos y métodos de arquitectura de software para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0004,PRG-001,SUB-002,RESEARCH,"Integra conceptos, datos y métodos de arquitectura de software para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0005,PRG-001,SUB-003,RESEARCH,"Analiza conceptos, datos y métodos de inteligencia artificial para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0006,PRG-001,SUB-003,PROFESSIONAL,"Integra conceptos, datos y métodos de inteligencia artificial para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0007,PRG-001,SUB-004,PROFESSIONAL,"Analiza conceptos, datos y métodos de sistemas distribuidos para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0008,PRG-001,SUB-004,RESEARCH,"Integra conceptos, datos y métodos de sistemas distribuidos para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0009,PRG-001,SUB-005,RESEARCH,"Analiza conceptos, datos y métodos de seguridad informática para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0010,PRG-001,SUB-005,PROFESSIONAL,"Integra conceptos, datos y métodos de seguridad informática para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0011,PRG-001,SUB-006,PROFESSIONAL,"Analiza conceptos, datos y métodos de internet de las cosas para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0012,PRG-001,SUB-006,RESEARCH,"Integra conceptos, datos y métodos de internet de las cosas para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0013,PRG-001,SUB-007,RESEARCH,"Analiza conceptos, datos y métodos de optimización aplicada para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0014,PRG-001,SUB-007,PROFESSIONAL,"Integra conceptos, datos y métodos de optimización aplicada para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0015,PRG-002,SUB-008,PROFESSIONAL,"Analiza conceptos, datos y métodos de programación avanzada para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0016,PRG-002,SUB-008,RESEARCH,"Integra conceptos, datos y métodos de programación avanzada para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0017,PRG-002,SUB-009,RESEARCH,"Analiza conceptos, datos y métodos de arquitectura de software para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0018,PRG-002,SUB-009,PROFESSIONAL,"Integra conceptos, datos y métodos de arquitectura de software para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0019,PRG-002,SUB-010,PROFESSIONAL,"Analiza conceptos, datos y métodos de inteligencia artificial para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0020,PRG-002,SUB-010,RESEARCH,"Integra conceptos, datos y métodos de inteligencia artificial para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0021,PRG-002,SUB-011,RESEARCH,"Analiza conceptos, datos y métodos de sistemas distribuidos para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0022,PRG-002,SUB-011,PROFESSIONAL,"Integra conceptos, datos y métodos de sistemas distribuidos para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0023,PRG-002,SUB-012,PROFESSIONAL,"Analiza conceptos, datos y métodos de seguridad informática para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0024,PRG-002,SUB-012,RESEARCH,"Integra conceptos, datos y métodos de seguridad informática para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0025,PRG-002,SUB-013,RESEARCH,"Analiza conceptos, datos y métodos de internet de las cosas para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0026,PRG-002,SUB-013,PROFESSIONAL,"Integra conceptos, datos y métodos de internet de las cosas para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0027,PRG-002,SUB-014,PROFESSIONAL,"Analiza conceptos, datos y métodos de optimización aplicada para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0028,PRG-002,SUB-014,RESEARCH,"Integra conceptos, datos y métodos de optimización aplicada para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0029,PRG-003,SUB-015,RESEARCH,"Analiza conceptos, datos y métodos de programación avanzada para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0030,PRG-003,SUB-015,PROFESSIONAL,"Integra conceptos, datos y métodos de programación avanzada para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0031,PRG-003,SUB-016,PROFESSIONAL,"Analiza conceptos, datos y métodos de arquitectura de software para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0032,PRG-003,SUB-016,RESEARCH,"Integra conceptos, datos y métodos de arquitectura de software para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0033,PRG-003,SUB-017,RESEARCH,"Analiza conceptos, datos y métodos de inteligencia artificial para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0034,PRG-003,SUB-017,PROFESSIONAL,"Integra conceptos, datos y métodos de inteligencia artificial para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0035,PRG-003,SUB-018,PROFESSIONAL,"Analiza conceptos, datos y métodos de sistemas distribuidos para resolver problemas contextualizados con criterios de pertinencia y evidencia."
COM-0036,PRG-003,SUB-018,RESEARCH,"Integra conceptos, datos y métodos de sistemas distribuidos para resolver problemas contextualizados con criterios de pertinencia y evidencia."
