outcome_id,subject_id,outcome_description,cognitive_level,evidence_type
LO-0001,SUB-001,Aplica principios y herramientas de programación avanzada para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0002,SUB-001,Analiza principios y herramientas de programación avanzada para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0003,SUB-001,Diseña principios y herramientas de programación avanzada para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0004,SUB-002,Aplica principios y herramientas de arquitectura de software para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0005,SUB-002,Analiza principios y herramientas de arquitectura de software para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0006,SUB-002,Diseña principios y herramientas de arquitectura de software para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0007,SUB-003,Aplica principios y herramientas de inteligencia artificial para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0008,SUB-003,Analiza principios y herramientas de inteligencia artificial para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0009,SUB-003,Diseña principios y herramientas de inteligencia artificial para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0010,SUB-004,Aplica principios y herramientas de sistemas distribuidos para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0011,SUB-004,Analiza principios y herramientas de sistemas distribuidos para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0012,SUB-004,Diseña principios y herramientas de sistemas distribuidos para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0013,SUB-005,Aplica principios y herramientas de seguridad informática para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0014,SUB-005,Analiza principios y herramientas de seguridad informática para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0015,SUB-005,Diseña principios y herramientas de seguridad informática para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0016,SUB-006,Aplica principios y herramientas de internet de las cosas para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0017,SUB-006,Analiza principios y herramientas de internet de las cosas para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0018,SUB-006,Diseña principios y herramientas de internet de las cosas para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0019,SUB-007,Aplica principios y herramientas de optimización aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0020,SUB-007,Analiza principios y herramientas de optimización aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0021,SUB-007,Diseña principios y herramientas de optimización aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0022,SUB-008,Aplica principios y herramientas de programación avanzada para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0023,SUB-008,Analiza principios y herramientas de programación avanzada para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0024,SUB-008,Diseña principios y herramientas de programación avanzada para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0025,SUB-009,Aplica principios y herramientas de arquitectura de software para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0026,SUB-009,Analiza principios y herramientas de arquitectura de software para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0027,SUB-009,Diseña principios y herramientas de arquitectura de software para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0028,SUB-010,Aplica principios y herramientas de inteligencia artificial para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0029,SUB-010,Analiza principios y herramientas de inteligencia artificial para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0030,SUB-010,Diseña principios y herramientas de inteligencia artificial para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0031,SUB-011,Aplica principios y herramientas de sistemas distribuidos para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0032,SUB-011,Analiza principios y herramientas de sistemas distribuidos para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0033,SUB-011,Diseña principios y herramientas de sistemas distribuidos para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0034,SUB-012,Aplica principios y herramientas de seguridad informática para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0035,SUB-012,Analiza principios y herramientas de seguridad informática para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0036,SUB-012,Diseña principios y herramientas de seguridad informática para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0037,SUB-013,Aplica principios y herramientas de internet de las cosas para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0038,SUB-013,Analiza principios y herramientas de internet de las cosas para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0039,SUB-013,Diseña principios y herramientas de internet de las cosas para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0040,SUB-014,Aplica principios y herramientas de optimización aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0041,SUB-014,Analiza principios y herramientas de optimización aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0042,SUB-014,Diseña principios y herramientas de optimización aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0043,SUB-015,Aplica principios y herramientas de programación avanzada para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0044,SUB-015,Analiza principios y herramientas de programación avanzada para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0045,SUB-015,Diseña principios y herramientas de programación avanzada para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0046,SUB-016,Aplica principios y herramientas de arquitectura de software para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0047,SUB-016,Analiza principios y herramientas de arquitectura de software para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0048,SUB-016,Diseña principios y herramientas de arquitectura de software para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0049,SUB-017,Aplica principios y herramientas de inteligencia artificial para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0050,SUB-017,Analiza principios y herramientas de inteligencia artificial para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0051,SUB-017,Diseña principios y herramientas de inteligencia artificial para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0052,SUB-018,Aplica principios y herramientas de sistemas distribuidos para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0053,SUB-018,Analiza principios y herramientas de sistemas distribuidos para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0054,SUB-018,Diseña principios y herramientas de sistemas distribuidos para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0055,SUB-019,Aplica principios y herramientas de seguridad informática para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0056,SUB-019,Analiza principios y herramientas de seguridad informática para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
