researcher_id,expertise_id,expertise_name,expertise_type,proficiency_level,years_experience,evidence_source
INV-001,EXP-0001,optimización,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-001,EXP-0002,procesamiento de señales,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-001,EXP-0003,clasificación supervisada,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-001,EXP-0004,modelos probabilísticos,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-002,EXP-0005,IoT,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-002,EXP-0006,arquitecturas digitales,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-002,EXP-0007,diseño experimental,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-002,EXP-0008,optimización,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-003,EXP-0009,aprendizaje automático,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-003,EXP-0010,ciberseguridad,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-003,EXP-0011,modelos probabilísticos,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-003,EXP-0012,series temporales,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-004,EXP-0013,optimización,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-004,EXP-0014,aprendizaje automático,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-004,EXP-0015,optimización,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-004,EXP-0016,modelos probabilísticos,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-005,EXP-0017,arquitecturas digitales,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-005,EXP-0018,aprendizaje automático,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-005,EXP-0019,simulación,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-005,EXP-0020,recuperación de información,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-006,EXP-0021,arquitecturas digitales,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-006,EXP-0022,aprendizaje automático,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-006,EXP-0023,diseño experimental,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-006,EXP-0024,modelamiento estadístico,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-007,EXP-0025,procesamiento de señales,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-007,EXP-0026,aprendizaje automático,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-007,EXP-0027,simulación,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-007,EXP-0028,procesamiento de señales,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-008,EXP-0029,aprendizaje automático,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-008,EXP-0030,arquitecturas digitales,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-008,EXP-0031,simulación,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-008,EXP-0032,diseño experimental,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-009,EXP-0033,procesamiento de señales,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-009,EXP-0034,aprendizaje automático,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-009,EXP-0035,diseño experimental,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-009,EXP-0036,procesamiento de señales,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-010,EXP-0037,optimización,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-010,EXP-0038,arquitecturas digitales,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-010,EXP-0039,procesamiento de señales,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-010,EXP-0040,análisis causal,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-011,EXP-0041,ciberseguridad,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-011,EXP-0042,procesamiento de señales,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-011,EXP-0043,análisis causal,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-011,EXP-0044,series temporales,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-012,EXP-0045,arquitecturas digitales,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-012,EXP-0046,ciberseguridad,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-012,EXP-0047,series temporales,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-012,EXP-0048,optimización,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-013,EXP-0049,ciberseguridad,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-013,EXP-0050,IoT,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-013,EXP-0051,modelamiento estadístico,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-013,EXP-0052,simulación,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-014,EXP-0053,procesamiento de señales,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-014,EXP-0054,ciberseguridad,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-014,EXP-0055,simulación,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-014,EXP-0056,modelos probabilísticos,METHOD,4,5,PROFILE_AND_OUTPUTS
