researcher_id,group_id,role
INV-001,GRP-004,MEMBER
INV-002,GRP-002,MEMBER
INV-003,GRP-005,MEMBER
INV-004,GRP-003,MEMBER
INV-005,GRP-001,MEMBER
INV-006,GRP-004,MEMBER
INV-007,GRP-002,LEADER
INV-008,GRP-005,MEMBER
INV-009,GRP-003,MEMBER
INV-010,GRP-001,MEMBER
INV-011,GRP-004,MEMBER
INV-012,GRP-002,MEMBER
INV-013,GRP-005,MEMBER
INV-014,GRP-003,LEADER
INV-015,GRP-001,MEMBER
INV-016,GRP-004,MEMBER
INV-017,GRP-002,MEMBER
INV-018,GRP-005,MEMBER
INV-019,GRP-003,MEMBER
INV-020,GRP-001,MEMBER
INV-021,GRP-004,LEADER
INV-022,GRP-002,MEMBER
INV-023,GRP-005,MEMBER
INV-024,GRP-003,MEMBER
INV-025,GRP-001,MEMBER
INV-026,GRP-004,MEMBER
INV-027,GRP-002,MEMBER
INV-028,GRP-005,LEADER
INV-029,GRP-003,MEMBER
INV-030,GRP-001,MEMBER
INV-031,GRP-004,MEMBER
INV-032,GRP-002,MEMBER
INV-033,GRP-005,MEMBER
INV-034,GRP-003,MEMBER
INV-035,GRP-001,LEADER
INV-036,GRP-004,MEMBER
INV-037,GRP-002,MEMBER
INV-038,GRP-005,MEMBER
INV-039,GRP-003,MEMBER
INV-040,GRP-001,MEMBER
INV-041,GRP-004,MEMBER
INV-042,GRP-002,LEADER
INV-043,GRP-006,MEMBER
INV-044,GRP-006,MEMBER
INV-045,GRP-006,MEMBER
INV-046,GRP-006,MEMBER
INV-047,GRP-006,MEMBER
INV-048,GRP-006,MEMBER
INV-049,GRP-006,LEADER
INV-050,GRP-006,MEMBER
INV-051,GRP-006,MEMBER
INV-052,GRP-006,MEMBER
INV-053,GRP-006,MEMBER
INV-054,GRP-006,MEMBER
INV-055,GRP-006,MEMBER
INV-056,GRP-006,LEADER
INV-057,GRP-006,MEMBER
INV-058,GRP-006,MEMBER
INV-059,GRP-006,MEMBER
INV-060,GRP-006,MEMBER
INV-061,GRP-006,MEMBER
INV-062,GRP-006,MEMBER
INV-063,GRP-006,LEADER
INV-064,GRP-006,MEMBER
INV-065,GRP-006,MEMBER
INV-066,GRP-006,MEMBER
INV-067,GRP-006,MEMBER
INV-068,GRP-006,MEMBER
INV-069,GRP-006,MEMBER
INV-070,GRP-006,LEADER
INV-071,GRP-006,MEMBER
INV-072,GRP-006,MEMBER
INV-073,GRP-006,MEMBER
INV-074,GRP-009,MEMBER
INV-075,GRP-009,MEMBER
INV-076,GRP-009,MEMBER
INV-077,GRP-009,LEADER
INV-078,GRP-009,MEMBER
INV-079,GRP-009,MEMBER
INV-080,GRP-009,MEMBER
INV-081,GRP-009,MEMBER
INV-082,GRP-009,MEMBER
INV-083,GRP-009,MEMBER
INV-084,GRP-009,LEADER
INV-085,GRP-009,MEMBER
INV-086,GRP-009,MEMBER
INV-087,GRP-009,MEMBER
INV-088,GRP-009,MEMBER
INV-089,GRP-009,MEMBER
INV-090,GRP-009,MEMBER
INV-091,GRP-009,LEADER
INV-092,GRP-009,MEMBER
INV-093,GRP-009,MEMBER
INV-094,GRP-009,MEMBER
INV-095,GRP-009,MEMBER
INV-096,GRP-009,MEMBER
INV-097,GRP-009,MEMBER
INV-098,GRP-009,LEADER
INV-099,GRP-009,MEMBER
INV-100,GRP-012,MEMBER
INV-101,GRP-012,MEMBER
INV-102,GRP-012,MEMBER
INV-103,GRP-012,MEMBER
INV-104,GRP-012,MEMBER
INV-105,GRP-012,LEADER
INV-106,GRP-012,MEMBER
INV-107,GRP-012,MEMBER
INV-108,GRP-012,MEMBER
INV-109,GRP-012,MEMBER
INV-110,GRP-012,MEMBER
INV-111,GRP-012,MEMBER
INV-112,GRP-012,LEADER
INV-113,GRP-012,MEMBER
INV-114,GRP-012,MEMBER
INV-115,GRP-012,MEMBER
INV-116,GRP-012,MEMBER
INV-117,GRP-012,MEMBER
INV-118,GRP-012,MEMBER
INV-119,GRP-012,LEADER
INV-120,GRP-012,MEMBER
INV-121,GRP-012,MEMBER
INV-122,GRP-012,MEMBER
INV-123,GRP-012,MEMBER
INV-124,GRP-012,MEMBER
INV-125,GRP-012,MEMBER
INV-126,GRP-012,LEADER
INV-127,GRP-012,MEMBER
INV-128,GRP-015,MEMBER
INV-129,GRP-015,MEMBER
INV-130,GRP-015,MEMBER
INV-131,GRP-015,MEMBER
INV-132,GRP-015,MEMBER
INV-133,GRP-015,LEADER
INV-134,GRP-015,MEMBER
INV-135,GRP-015,MEMBER
INV-136,GRP-015,MEMBER
INV-137,GRP-015,MEMBER
INV-138,GRP-015,MEMBER
INV-139,GRP-015,MEMBER
INV-140,GRP-015,LEADER
INV-141,GRP-015,MEMBER
INV-142,GRP-015,MEMBER
INV-143,GRP-015,MEMBER
INV-144,GRP-015,MEMBER
INV-145,GRP-015,MEMBER
INV-146,GRP-015,MEMBER
INV-147,GRP-015,LEADER
INV-148,GRP-015,MEMBER
INV-149,GRP-015,MEMBER
INV-150,GRP-015,MEMBER
INV-151,GRP-015,MEMBER
INV-152,GRP-015,MEMBER
INV-153,GRP-015,MEMBER
INV-154,GRP-015,LEADER
INV-155,GRP-019,MEMBER
INV-156,GRP-018,MEMBER
INV-157,GRP-021,MEMBER
INV-158,GRP-020,MEMBER
INV-159,GRP-019,MEMBER
INV-160,GRP-018,MEMBER
INV-161,GRP-021,LEADER
INV-162,GRP-020,MEMBER
INV-163,GRP-019,MEMBER
INV-164,GRP-018,MEMBER
INV-165,GRP-021,MEMBER
INV-166,GRP-020,MEMBER
INV-167,GRP-019,MEMBER
INV-168,GRP-018,LEADER
INV-169,GRP-021,MEMBER
INV-170,GRP-020,MEMBER
INV-171,GRP-019,MEMBER
INV-172,GRP-018,MEMBER
INV-173,GRP-021,MEMBER
INV-174,GRP-020,MEMBER
INV-175,GRP-019,LEADER
INV-176,GRP-018,MEMBER
INV-177,GRP-021,MEMBER
INV-178,GRP-020,MEMBER
INV-179,GRP-019,MEMBER
INV-180,GRP-018,MEMBER
