subject_id,program_id,subject_name,semester,credits,description,purpose,main_topics,disciplinary_area,active
SUB-001,PRG-001,Programación avanzada,1,3,Asignatura orientada a comprender y aplicar programación avanzada en problemas propios de Ingeniería de Sistemas y contextos interdisciplinarios.,"Desarrollar capacidad para analizar evidencia, seleccionar métodos y proponer soluciones relacionadas con programación avanzada.",Programación avanzada; análisis aplicado; integración de evidencia,de Sistemas,True
SUB-002,PRG-001,Arquitectura de software,2,3,Asignatura orientada a comprender y aplicar arquitectura de software en problemas propios de Ingeniería de Sistemas y contextos interdisciplinarios.,"Desarrollar capacidad para analizar evidencia, seleccionar métodos y proponer soluciones relacionadas con arquitectura de software.",Arquitectura de software; análisis aplicado; integración de evidencia,de Sistemas,True
SUB-003,PRG-001,Inteligencia artificial,3,3,Asignatura orientada a comprender y aplicar inteligencia artificial en problemas propios de Ingeniería de Sistemas y contextos interdisciplinarios.,"Desarrollar capacidad para analizar evidencia, seleccionar métodos y proponer soluciones relacionadas con inteligencia artificial.",Inteligencia artificial; análisis aplicado; integración de evidencia,de Sistemas,True
SUB-004,PRG-001,Sistemas distribuidos,4,3,Asignatura orientada a comprender y aplicar sistemas distribuidos en problemas propios de Ingeniería de Sistemas y contextos interdisciplinarios.,"Desarrollar capacidad para analizar evidencia, seleccionar métodos y proponer soluciones relacionadas con sistemas distribuidos.",Sistemas distribuidos; análisis aplicado; integración de evidencia,de Sistemas,True
SUB-005,PRG-001,Seguridad informática,5,3,Asignatura orientada a comprender y aplicar seguridad informática en problemas propios de Ingeniería de Sistemas y contextos interdisciplinarios.,"Desarrollar capacidad para analizar evidencia, seleccionar métodos y proponer soluciones relacionadas con seguridad informática.",Seguridad informática; análisis aplicado; integración de evidencia,de Sistemas,True
SUB-006,PRG-001,Internet de las Cosas,6,3,Asignatura orientada a comprender y aplicar internet de las cosas en problemas propios de Ingeniería de Sistemas y contextos interdisciplinarios.,"Desarrollar capacidad para analizar evidencia, seleccionar métodos y proponer soluciones relacionadas con internet de las cosas.",Internet de las Cosas; análisis aplicado; integración de evidencia,de Sistemas,True
SUB-007,PRG-001,Optimización aplicada,7,3,Asignatura orientada a comprender y aplicar optimización aplicada en problemas propios de Ingeniería de Sistemas y contextos interdisciplinarios.,"Desarrollar capacidad para analizar evidencia, seleccionar métodos y proponer soluciones relacionadas con optimización aplicada.",Optimización aplicada; análisis aplicado; integración de evidencia,de Sistemas,True
SUB-008,PRG-002,Programación avanzada,1,3,Asignatura orientada a comprender y aplicar programación avanzada en problemas propios de Ingeniería Electrónica y contextos interdisciplinarios.,"Desarrollar capacidad para analizar evidencia, seleccionar métodos y proponer soluciones relacionadas con programación avanzada.",Programación avanzada; análisis aplicado; integración de evidencia,Electrónica,True
SUB-009,PRG-002,Arquitectura de software,2,3,Asignatura orientada a comprender y aplicar arquitectura de software en problemas propios de Ingeniería Electrónica y contextos interdisciplinarios.,"Desarrollar capacidad para analizar evidencia, seleccionar métodos y proponer soluciones relacionadas con arquitectura de software.",Arquitectura de software; análisis aplicado; integración de evidencia,Electrónica,True
SUB-010,PRG-002,Inteligencia artificial,3,3,Asignatura orientada a comprender y aplicar inteligencia artificial en problemas propios de Ingeniería Electrónica y contextos interdisciplinarios.,"Desarrollar capacidad para analizar evidencia, seleccionar métodos y proponer soluciones relacionadas con inteligencia artificial.",Inteligencia artificial; análisis aplicado; integración de evidencia,Electrónica,True
