project_id,group_id,relation
PRJ-001,GRP-014,EXECUTING_GROUP
PRJ-002,GRP-012,EXECUTING_GROUP
PRJ-003,GRP-014,EXECUTING_GROUP
PRJ-004,GRP-012,EXECUTING_GROUP
PRJ-005,GRP-012,EXECUTING_GROUP
PRJ-006,GRP-012,EXECUTING_GROUP
PRJ-007,GRP-012,EXECUTING_GROUP
PRJ-008,GRP-012,EXECUTING_GROUP
PRJ-009,GRP-012,EXECUTING_GROUP
PRJ-010,GRP-012,EXECUTING_GROUP
PRJ-011,GRP-012,EXECUTING_GROUP
PRJ-012,GRP-014,EXECUTING_GROUP
PRJ-013,GRP-013,EXECUTING_GROUP
PRJ-014,GRP-012,EXECUTING_GROUP
PRJ-015,GRP-014,EXECUTING_GROUP
PRJ-016,GRP-013,EXECUTING_GROUP
PRJ-017,GRP-012,EXECUTING_GROUP
PRJ-018,GRP-013,EXECUTING_GROUP
PRJ-019,GRP-012,EXECUTING_GROUP
PRJ-020,GRP-012,EXECUTING_GROUP
PRJ-021,GRP-014,EXECUTING_GROUP
PRJ-022,GRP-014,EXECUTING_GROUP
PRJ-023,GRP-014,EXECUTING_GROUP
PRJ-024,GRP-014,EXECUTING_GROUP
PRJ-025,GRP-018,EXECUTING_GROUP
PRJ-026,GRP-019,EXECUTING_GROUP
PRJ-027,GRP-020,EXECUTING_GROUP
PRJ-028,GRP-021,EXECUTING_GROUP
PRJ-029,GRP-020,EXECUTING_GROUP
PRJ-030,GRP-020,EXECUTING_GROUP
PRJ-031,GRP-021,EXECUTING_GROUP
PRJ-032,GRP-019,EXECUTING_GROUP
PRJ-033,GRP-007,EXECUTING_GROUP
PRJ-034,GRP-007,EXECUTING_GROUP
PRJ-035,GRP-006,EXECUTING_GROUP
PRJ-036,GRP-007,EXECUTING_GROUP
PRJ-037,GRP-008,EXECUTING_GROUP
PRJ-038,GRP-008,EXECUTING_GROUP
PRJ-039,GRP-007,EXECUTING_GROUP
PRJ-040,GRP-007,EXECUTING_GROUP
PRJ-041,GRP-008,EXECUTING_GROUP
PRJ-042,GRP-007,EXECUTING_GROUP
PRJ-043,GRP-006,EXECUTING_GROUP
PRJ-044,GRP-008,EXECUTING_GROUP
PRJ-045,GRP-007,EXECUTING_GROUP
PRJ-046,GRP-006,EXECUTING_GROUP
PRJ-047,GRP-006,EXECUTING_GROUP
PRJ-048,GRP-006,EXECUTING_GROUP
PRJ-049,GRP-007,EXECUTING_GROUP
PRJ-050,GRP-006,EXECUTING_GROUP
PRJ-051,GRP-008,EXECUTING_GROUP
PRJ-052,GRP-006,EXECUTING_GROUP
PRJ-053,GRP-007,EXECUTING_GROUP
PRJ-054,GRP-007,EXECUTING_GROUP
PRJ-055,GRP-006,EXECUTING_GROUP
PRJ-056,GRP-006,EXECUTING_GROUP
PRJ-057,GRP-006,EXECUTING_GROUP
PRJ-058,GRP-008,EXECUTING_GROUP
PRJ-059,GRP-007,EXECUTING_GROUP
PRJ-060,GRP-006,EXECUTING_GROUP
PRJ-061,GRP-006,EXECUTING_GROUP
PRJ-062,GRP-007,EXECUTING_GROUP
PRJ-063,GRP-008,EXECUTING_GROUP
PRJ-064,GRP-006,EXECUTING_GROUP
PRJ-065,GRP-016,EXECUTING_GROUP
PRJ-066,GRP-017,EXECUTING_GROUP
PRJ-067,GRP-015,EXECUTING_GROUP
PRJ-068,GRP-017,EXECUTING_GROUP
PRJ-069,GRP-017,EXECUTING_GROUP
PRJ-070,GRP-016,EXECUTING_GROUP
PRJ-071,GRP-016,EXECUTING_GROUP
PRJ-072,GRP-017,EXECUTING_GROUP
PRJ-073,GRP-016,EXECUTING_GROUP
PRJ-074,GRP-016,EXECUTING_GROUP
PRJ-075,GRP-016,EXECUTING_GROUP
PRJ-076,GRP-017,EXECUTING_GROUP
PRJ-077,GRP-017,EXECUTING_GROUP
PRJ-078,GRP-016,EXECUTING_GROUP
PRJ-079,GRP-015,EXECUTING_GROUP
PRJ-080,GRP-015,EXECUTING_GROUP
PRJ-081,GRP-017,EXECUTING_GROUP
PRJ-082,GRP-017,EXECUTING_GROUP
PRJ-083,GRP-017,EXECUTING_GROUP
PRJ-084,GRP-015,EXECUTING_GROUP
PRJ-085,GRP-016,EXECUTING_GROUP
PRJ-086,GRP-016,EXECUTING_GROUP
PRJ-087,GRP-015,EXECUTING_GROUP
PRJ-088,GRP-015,EXECUTING_GROUP
PRJ-089,GRP-019,EXECUTING_GROUP
PRJ-090,GRP-019,EXECUTING_GROUP
PRJ-091,GRP-018,EXECUTING_GROUP
PRJ-092,GRP-020,EXECUTING_GROUP
PRJ-093,GRP-021,EXECUTING_GROUP
PRJ-094,GRP-021,EXECUTING_GROUP
PRJ-095,GRP-020,EXECUTING_GROUP
PRJ-096,GRP-019,EXECUTING_GROUP
PRJ-097,GRP-011,EXECUTING_GROUP
PRJ-098,GRP-009,EXECUTING_GROUP
PRJ-099,GRP-011,EXECUTING_GROUP
PRJ-100,GRP-009,EXECUTING_GROUP
PRJ-101,GRP-010,EXECUTING_GROUP
PRJ-102,GRP-009,EXECUTING_GROUP
PRJ-103,GRP-009,EXECUTING_GROUP
PRJ-104,GRP-010,EXECUTING_GROUP
PRJ-105,GRP-010,EXECUTING_GROUP
PRJ-106,GRP-011,EXECUTING_GROUP
PRJ-107,GRP-009,EXECUTING_GROUP
PRJ-108,GRP-009,EXECUTING_GROUP
PRJ-109,GRP-010,EXECUTING_GROUP
PRJ-110,GRP-009,EXECUTING_GROUP
PRJ-111,GRP-009,EXECUTING_GROUP
PRJ-112,GRP-010,EXECUTING_GROUP
PRJ-113,GRP-001,EXECUTING_GROUP
PRJ-114,GRP-004,EXECUTING_GROUP
PRJ-115,GRP-002,EXECUTING_GROUP
PRJ-116,GRP-004,EXECUTING_GROUP
PRJ-117,GRP-001,EXECUTING_GROUP
PRJ-118,GRP-001,EXECUTING_GROUP
PRJ-119,GRP-004,EXECUTING_GROUP
PRJ-120,GRP-001,EXECUTING_GROUP
PRJ-121,GRP-005,EXECUTING_GROUP
PRJ-122,GRP-003,EXECUTING_GROUP
PRJ-123,GRP-005,EXECUTING_GROUP
PRJ-124,GRP-001,EXECUTING_GROUP
PRJ-125,GRP-001,EXECUTING_GROUP
PRJ-126,GRP-005,EXECUTING_GROUP
PRJ-127,GRP-001,EXECUTING_GROUP
PRJ-128,GRP-002,EXECUTING_GROUP
PRJ-129,GRP-001,EXECUTING_GROUP
PRJ-130,GRP-003,EXECUTING_GROUP
PRJ-131,GRP-001,EXECUTING_GROUP
PRJ-132,GRP-002,EXECUTING_GROUP
PRJ-133,GRP-002,EXECUTING_GROUP
PRJ-134,GRP-002,EXECUTING_GROUP
PRJ-135,GRP-005,EXECUTING_GROUP
PRJ-136,GRP-001,EXECUTING_GROUP
PRJ-137,GRP-020,EXECUTING_GROUP
PRJ-138,GRP-019,EXECUTING_GROUP
PRJ-139,GRP-021,EXECUTING_GROUP
PRJ-140,GRP-019,EXECUTING_GROUP
PRJ-141,GRP-019,EXECUTING_GROUP
PRJ-142,GRP-019,EXECUTING_GROUP
PRJ-143,GRP-019,EXECUTING_GROUP
PRJ-144,GRP-018,EXECUTING_GROUP
PRJ-145,GRP-010,EXECUTING_GROUP
PRJ-146,GRP-010,EXECUTING_GROUP
PRJ-147,GRP-009,EXECUTING_GROUP
PRJ-148,GRP-009,EXECUTING_GROUP
PRJ-149,GRP-010,EXECUTING_GROUP
PRJ-150,GRP-010,EXECUTING_GROUP
PRJ-151,GRP-011,EXECUTING_GROUP
PRJ-152,GRP-011,EXECUTING_GROUP
PRJ-153,GRP-017,EXECUTING_GROUP
PRJ-154,GRP-016,EXECUTING_GROUP
PRJ-155,GRP-016,EXECUTING_GROUP
PRJ-156,GRP-016,EXECUTING_GROUP
PRJ-157,GRP-017,EXECUTING_GROUP
PRJ-158,GRP-015,EXECUTING_GROUP
PRJ-159,GRP-015,EXECUTING_GROUP
PRJ-160,GRP-017,EXECUTING_GROUP
PRJ-161,GRP-001,EXECUTING_GROUP
PRJ-162,GRP-006,EXECUTING_GROUP
PRJ-163,GRP-011,EXECUTING_GROUP
PRJ-164,GRP-013,EXECUTING_GROUP
PRJ-165,GRP-015,EXECUTING_GROUP
PRJ-166,GRP-021,EXECUTING_GROUP
PRJ-167,GRP-004,EXECUTING_GROUP
PRJ-168,GRP-007,EXECUTING_GROUP
PRJ-169,GRP-011,EXECUTING_GROUP
PRJ-170,GRP-012,EXECUTING_GROUP
PRJ-171,GRP-017,EXECUTING_GROUP
PRJ-172,GRP-018,EXECUTING_GROUP
PRJ-173,GRP-005,EXECUTING_GROUP
PRJ-174,GRP-007,EXECUTING_GROUP
PRJ-175,GRP-010,EXECUTING_GROUP
PRJ-176,GRP-013,EXECUTING_GROUP
PRJ-177,GRP-017,EXECUTING_GROUP
PRJ-178,GRP-020,EXECUTING_GROUP
PRJ-179,GRP-001,EXECUTING_GROUP
PRJ-180,GRP-008,EXECUTING_GROUP
PRJ-181,GRP-011,EXECUTING_GROUP
PRJ-182,GRP-014,EXECUTING_GROUP
PRJ-183,GRP-016,EXECUTING_GROUP
