project_id,title,project_type,status,problem_statement,abstract,general_objective,methodology,expected_results,application_context,faculty_id,program_id,group_id,start_year,end_year,keywords,disciplinary_area,funding_type,source_document
PRJ-001,Análisis aplicado de permanencia estudiantil para fortalecer trayectorias educativas,INSTITUTIONAL,ACTIVE,La información sobre permanencia estudiantil se encuentra distribuida y existen dificultades para relacionarla con trayectorias educativas de manera verificable.,"Proyecto orientado a estudiar permanencia estudiantil y su relación con trayectorias educativas, integrando evidencia institucional y un enfoque de clasificación supervisada.",Desarrollar y evaluar un enfoque de clasificación supervisada que permita analizar permanencia estudiantil y generar evidencia útil para trayectorias educativas.,"Integración de fuentes, preparación de datos, clasificación supervisada, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con trayectorias educativas.",trayectorias educativas,FAC-004,PRG-011,GRP-014,2019,2020,permanencia estudiantil;clasificación supervisada;trayectorias educativas,Psicología,PUBLIC_CALL,project_profile_001.md
PRJ-002,Modelo institucional para riesgo académico y su relación con student attrition,APPLIED_RESEARCH,COMPLETED,La información sobre riesgo académico se encuentra distribuida y existen dificultades para relacionarla con student attrition de manera verificable.,"Proyecto orientado a estudiar riesgo académico y su relación con student attrition, integrando evidencia institucional y un enfoque de analítica educativa.",Desarrollar y evaluar un enfoque de analítica educativa que permita analizar riesgo académico y generar evidencia útil para student attrition.,"Integración de fuentes, preparación de datos, analítica educativa, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con student attrition.",student attrition,FAC-004,PRG-012,GRP-012,2020,2021,riesgo académico;analítica educativa;student attrition,Ciencias de la Educación,EXTERNAL_PARTNER,project_profile_002.md
PRJ-003,Integración de evidencia sobre trayectorias educativas en escenarios de acompañamiento temprano,INSTITUTIONAL,COMPLETED,La información sobre trayectorias educativas se encuentra distribuida y existen dificultades para relacionarla con acompañamiento temprano de manera verificable.,"Proyecto orientado a estudiar trayectorias educativas y su relación con acompañamiento temprano, integrando evidencia institucional y un enfoque de modelos longitudinales.",Desarrollar y evaluar un enfoque de modelos longitudinales que permita analizar trayectorias educativas y generar evidencia útil para acompañamiento temprano.,"Integración de fuentes, preparación de datos, modelos longitudinales, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con acompañamiento temprano.",acompañamiento temprano,FAC-004,PRG-010,GRP-014,2021,2022,trayectorias educativas;modelos longitudinales;acompañamiento temprano,Licenciatura en Tecnología e Informática,INTERNAL,project_profile_003.md
PRJ-004,Estrategia basada en clasificación supervisada para estudiar student attrition,APPLIED_RESEARCH,ACTIVE,La información sobre student attrition se encuentra distribuida y existen dificultades para relacionarla con permanencia estudiantil de manera verificable.,"Proyecto orientado a estudiar student attrition y su relación con permanencia estudiantil, integrando evidencia institucional y un enfoque de clasificación supervisada.",Desarrollar y evaluar un enfoque de clasificación supervisada que permita analizar student attrition y generar evidencia útil para permanencia estudiantil.,"Integración de fuentes, preparación de datos, clasificación supervisada, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con permanencia estudiantil.",permanencia estudiantil,FAC-004,PRG-011,GRP-012,2022,2023,student attrition;clasificación supervisada;permanencia estudiantil,Psicología,INTERNAL,project_profile_004.md
PRJ-005,Análisis aplicado de acompañamiento temprano para fortalecer riesgo académico,INSTITUTIONAL,FORMULATION,La información sobre acompañamiento temprano se encuentra distribuida y existen dificultades para relacionarla con riesgo académico de manera verificable.,"Proyecto orientado a estudiar acompañamiento temprano y su relación con riesgo académico, integrando evidencia institucional y un enfoque de analítica educativa.",Desarrollar y evaluar un enfoque de analítica educativa que permita analizar acompañamiento temprano y generar evidencia útil para riesgo académico.,"Integración de fuentes, preparación de datos, analítica educativa, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con riesgo académico.",riesgo académico,FAC-004,PRG-012,GRP-012,2023,2024,acompañamiento temprano;analítica educativa;riesgo académico,Ciencias de la Educación,PUBLIC_CALL,project_profile_005.md
PRJ-006,Modelo institucional para permanencia estudiantil y su relación con trayectorias educativas,APPLIED_RESEARCH,ACTIVE,La información sobre permanencia estudiantil se encuentra distribuida y existen dificultades para relacionarla con trayectorias educativas de manera verificable.,"Proyecto orientado a estudiar permanencia estudiantil y su relación con trayectorias educativas, integrando evidencia institucional y un enfoque de modelos longitudinales.",Desarrollar y evaluar un enfoque de modelos longitudinales que permita analizar permanencia estudiantil y generar evidencia útil para trayectorias educativas.,"Integración de fuentes, preparación de datos, modelos longitudinales, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con trayectorias educativas.",trayectorias educativas,FAC-004,PRG-010,GRP-012,2024,2025,permanencia estudiantil;modelos longitudinales;trayectorias educativas,Licenciatura en Tecnología e Informática,EXTERNAL_PARTNER,project_profile_006.md
PRJ-007,Integración de evidencia sobre riesgo académico en escenarios de student attrition,INSTITUTIONAL,COMPLETED,La información sobre riesgo académico se encuentra distribuida y existen dificultades para relacionarla con student attrition de manera verificable.,"Proyecto orientado a estudiar riesgo académico y su relación con student attrition, integrando evidencia institucional y un enfoque de clasificación supervisada.",Desarrollar y evaluar un enfoque de clasificación supervisada que permita analizar riesgo académico y generar evidencia útil para student attrition.,"Integración de fuentes, preparación de datos, clasificación supervisada, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con student attrition.",student attrition,FAC-004,PRG-011,GRP-012,2025,2026,riesgo académico;clasificación supervisada;student attrition,Psicología,INTERNAL,project_profile_007.md
PRJ-008,Trayectorias Educativas: an applied study for acompañamiento temprano,APPLIED_RESEARCH,COMPLETED,"Existing information about trayectorias educativas is fragmented across academic and institutional sources, limiting timely analysis.","This project investigates trayectorias educativas in relation to acompañamiento temprano, using analítica educativa. It focuses on institutional evidence and reproducible decision support.",Develop and evaluate an approach based on analítica educativa to connect evidence related to trayectorias educativas and acompañamiento temprano.,"Applied study combining data integration, analítica educativa, validation and traceable analysis.","Expected outputs include validated evidence, prioritized findings and a reproducible analytical component.",acompañamiento temprano,FAC-004,PRG-010,GRP-012,2026,,trayectorias educativas;analítica educativa;acompañamiento temprano,Licenciatura en Tecnología e Informática,INTERNAL,project_profile_008.md
PRJ-009,Análisis aplicado de aprendizaje adaptativo para fortalecer secuencias de aprendizaje,INSTITUTIONAL,FORMULATION,La información sobre aprendizaje adaptativo se encuentra distribuida y existen dificultades para relacionarla con secuencias de aprendizaje de manera verificable.,"Proyecto orientado a estudiar aprendizaje adaptativo y su relación con secuencias de aprendizaje, integrando evidencia institucional y un enfoque de sistemas recomendadores.",Desarrollar y evaluar un enfoque de sistemas recomendadores que permita analizar aprendizaje adaptativo y generar evidencia útil para secuencias de aprendizaje.,"Integración de fuentes, preparación de datos, sistemas recomendadores, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con secuencias de aprendizaje.",secuencias de aprendizaje,FAC-004,PRG-012,GRP-012,2020,2021,aprendizaje adaptativo;sistemas recomendadores;secuencias de aprendizaje,Ciencias de la Educación,PUBLIC_CALL,project_profile_009.md
PRJ-010,Modelo institucional para personalización y su relación con learning analytics,APPLIED_RESEARCH,ACTIVE,La información sobre personalización se encuentra distribuida y existen dificultades para relacionarla con learning analytics de manera verificable.,"Proyecto orientado a estudiar personalización y su relación con learning analytics, integrando evidencia institucional y un enfoque de analítica educativa.",Desarrollar y evaluar un enfoque de analítica educativa que permita analizar personalización y generar evidencia útil para learning analytics.,"Integración de fuentes, preparación de datos, analítica educativa, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con learning analytics.",learning analytics,FAC-004,PRG-010,GRP-012,2021,2022,personalización;analítica educativa;learning analytics,Licenciatura en Tecnología e Informática,EXTERNAL_PARTNER,project_profile_010.md
