publication_id,project_id,relation
PUB-001,PRJ-001,DERIVED_FROM
PUB-002,PRJ-002,DERIVED_FROM
PUB-003,PRJ-003,DERIVED_FROM
PUB-004,PRJ-004,DERIVED_FROM
PUB-005,PRJ-005,DERIVED_FROM
PUB-006,PRJ-006,DERIVED_FROM
PUB-007,PRJ-007,DERIVED_FROM
PUB-008,PRJ-008,DERIVED_FROM
PUB-009,PRJ-001,DERIVED_FROM
PUB-010,PRJ-002,DERIVED_FROM
PUB-011,PRJ-009,DERIVED_FROM
PUB-012,PRJ-010,DERIVED_FROM
PUB-013,PRJ-011,DERIVED_FROM
PUB-014,PRJ-012,DERIVED_FROM
PUB-015,PRJ-013,DERIVED_FROM
PUB-016,PRJ-014,DERIVED_FROM
PUB-017,PRJ-015,DERIVED_FROM
PUB-018,PRJ-016,DERIVED_FROM
PUB-019,PRJ-009,DERIVED_FROM
PUB-020,PRJ-010,DERIVED_FROM
PUB-021,PRJ-017,DERIVED_FROM
PUB-022,PRJ-018,DERIVED_FROM
PUB-023,PRJ-019,DERIVED_FROM
PUB-024,PRJ-020,DERIVED_FROM
PUB-025,PRJ-021,DERIVED_FROM
PUB-026,PRJ-022,DERIVED_FROM
PUB-027,PRJ-023,DERIVED_FROM
PUB-028,PRJ-024,DERIVED_FROM
PUB-029,PRJ-017,DERIVED_FROM
PUB-030,PRJ-018,DERIVED_FROM
PUB-031,PRJ-025,DERIVED_FROM
PUB-032,PRJ-026,DERIVED_FROM
PUB-033,PRJ-027,DERIVED_FROM
PUB-034,PRJ-028,DERIVED_FROM
PUB-035,PRJ-029,DERIVED_FROM
PUB-036,PRJ-030,DERIVED_FROM
PUB-037,PRJ-031,DERIVED_FROM
PUB-038,PRJ-032,DERIVED_FROM
PUB-039,PRJ-025,DERIVED_FROM
PUB-040,PRJ-026,DERIVED_FROM
PUB-041,PRJ-033,DERIVED_FROM
PUB-042,PRJ-034,DERIVED_FROM
PUB-043,PRJ-035,DERIVED_FROM
PUB-044,PRJ-036,DERIVED_FROM
PUB-045,PRJ-037,DERIVED_FROM
PUB-046,PRJ-038,DERIVED_FROM
PUB-047,PRJ-039,DERIVED_FROM
PUB-048,PRJ-040,DERIVED_FROM
PUB-049,PRJ-033,DERIVED_FROM
PUB-050,PRJ-034,DERIVED_FROM
PUB-051,PRJ-041,DERIVED_FROM
PUB-052,PRJ-042,DERIVED_FROM
PUB-053,PRJ-043,DERIVED_FROM
PUB-054,PRJ-044,DERIVED_FROM
PUB-055,PRJ-045,DERIVED_FROM
PUB-056,PRJ-046,DERIVED_FROM
PUB-057,PRJ-047,DERIVED_FROM
PUB-058,PRJ-048,DERIVED_FROM
PUB-059,PRJ-041,DERIVED_FROM
PUB-060,PRJ-042,DERIVED_FROM
