publication_id,researcher_id,role
PUB-001,INV-101,AUTHOR
PUB-001,INV-117,AUTHOR
PUB-002,INV-116,AUTHOR
PUB-002,INV-101,AUTHOR
PUB-003,INV-121,AUTHOR
PUB-003,INV-106,AUTHOR
PUB-004,INV-122,AUTHOR
PUB-004,INV-116,AUTHOR
PUB-005,INV-115,AUTHOR
PUB-005,INV-118,AUTHOR
PUB-006,INV-121,AUTHOR
PUB-006,INV-124,AUTHOR
PUB-007,INV-110,AUTHOR
PUB-007,INV-116,AUTHOR
PUB-008,INV-101,AUTHOR
PUB-008,INV-126,AUTHOR
PUB-009,INV-105,AUTHOR
PUB-009,INV-127,AUTHOR
PUB-010,INV-101,AUTHOR
PUB-010,INV-127,AUTHOR
PUB-011,INV-102,AUTHOR
PUB-011,INV-104,AUTHOR
PUB-012,INV-108,AUTHOR
PUB-012,INV-110,AUTHOR
PUB-013,INV-101,AUTHOR
PUB-013,INV-121,AUTHOR
PUB-014,INV-101,AUTHOR
PUB-014,INV-126,AUTHOR
PUB-015,INV-104,AUTHOR
PUB-015,INV-106,AUTHOR
PUB-016,INV-119,AUTHOR
PUB-016,INV-126,AUTHOR
PUB-017,INV-110,AUTHOR
PUB-017,INV-105,AUTHOR
PUB-018,INV-108,AUTHOR
PUB-018,INV-112,AUTHOR
PUB-019,INV-106,AUTHOR
PUB-019,INV-110,AUTHOR
PUB-020,INV-123,AUTHOR
PUB-020,INV-106,AUTHOR
PUB-021,INV-120,AUTHOR
PUB-021,INV-105,AUTHOR
PUB-022,INV-100,AUTHOR
PUB-022,INV-105,AUTHOR
PUB-023,INV-123,AUTHOR
PUB-023,INV-119,AUTHOR
PUB-024,INV-100,AUTHOR
PUB-024,INV-101,AUTHOR
PUB-025,INV-117,AUTHOR
PUB-025,INV-101,AUTHOR
PUB-026,INV-125,AUTHOR
PUB-026,INV-121,AUTHOR
PUB-027,INV-109,AUTHOR
PUB-027,INV-122,AUTHOR
PUB-028,INV-120,AUTHOR
PUB-028,INV-117,AUTHOR
PUB-029,INV-107,AUTHOR
PUB-029,INV-100,AUTHOR
PUB-030,INV-113,AUTHOR
PUB-030,INV-117,AUTHOR
PUB-031,INV-163,AUTHOR
PUB-031,INV-177,AUTHOR
PUB-032,INV-160,AUTHOR
PUB-032,INV-161,AUTHOR
PUB-033,INV-179,AUTHOR
PUB-033,INV-175,AUTHOR
PUB-034,INV-168,AUTHOR
PUB-034,INV-155,AUTHOR
PUB-035,INV-173,AUTHOR
PUB-035,INV-178,AUTHOR
PUB-036,INV-156,AUTHOR
PUB-036,INV-177,AUTHOR
PUB-037,INV-174,AUTHOR
PUB-037,INV-179,AUTHOR
PUB-038,INV-164,AUTHOR
PUB-038,INV-160,AUTHOR
PUB-039,INV-168,AUTHOR
PUB-039,INV-172,AUTHOR
PUB-040,INV-176,AUTHOR
PUB-040,INV-159,AUTHOR
PUB-041,INV-056,AUTHOR
PUB-041,INV-052,AUTHOR
PUB-042,INV-058,AUTHOR
PUB-042,INV-046,AUTHOR
PUB-043,INV-058,AUTHOR
PUB-043,INV-049,AUTHOR
PUB-044,INV-062,AUTHOR
PUB-044,INV-063,AUTHOR
PUB-045,INV-043,AUTHOR
PUB-045,INV-057,AUTHOR
PUB-046,INV-072,AUTHOR
PUB-046,INV-046,AUTHOR
PUB-047,INV-071,AUTHOR
PUB-047,INV-052,AUTHOR
PUB-048,INV-051,AUTHOR
PUB-048,INV-065,AUTHOR
PUB-049,INV-060,AUTHOR
PUB-049,INV-073,AUTHOR
PUB-050,INV-053,AUTHOR
PUB-050,INV-072,AUTHOR
PUB-051,INV-053,AUTHOR
PUB-051,INV-045,AUTHOR
PUB-052,INV-059,AUTHOR
PUB-052,INV-073,AUTHOR
PUB-053,INV-044,AUTHOR
PUB-053,INV-066,AUTHOR
PUB-054,INV-072,AUTHOR
PUB-054,INV-062,AUTHOR
PUB-055,INV-043,AUTHOR
PUB-055,INV-055,AUTHOR
PUB-056,INV-051,AUTHOR
PUB-056,INV-045,AUTHOR
PUB-057,INV-068,AUTHOR
PUB-057,INV-058,AUTHOR
PUB-058,INV-055,AUTHOR
PUB-058,INV-046,AUTHOR
PUB-059,INV-062,AUTHOR
PUB-059,INV-055,AUTHOR
PUB-060,INV-063,AUTHOR
PUB-060,INV-054,AUTHOR
PUB-061,INV-048,AUTHOR
PUB-061,INV-058,AUTHOR
PUB-062,INV-055,AUTHOR
PUB-062,INV-058,AUTHOR
PUB-063,INV-044,AUTHOR
PUB-063,INV-072,AUTHOR
PUB-064,INV-053,AUTHOR
PUB-064,INV-063,AUTHOR
PUB-065,INV-069,AUTHOR
PUB-065,INV-061,AUTHOR
PUB-066,INV-071,AUTHOR
PUB-066,INV-047,AUTHOR
PUB-067,INV-049,AUTHOR
PUB-067,INV-065,AUTHOR
PUB-068,INV-047,AUTHOR
PUB-068,INV-062,AUTHOR
PUB-069,INV-071,AUTHOR
PUB-069,INV-051,AUTHOR
PUB-070,INV-053,AUTHOR
PUB-070,INV-044,AUTHOR
PUB-071,INV-070,AUTHOR
PUB-071,INV-054,AUTHOR
PUB-072,INV-071,AUTHOR
PUB-072,INV-070,AUTHOR
PUB-073,INV-045,AUTHOR
PUB-073,INV-044,AUTHOR
PUB-074,INV-056,AUTHOR
PUB-074,INV-044,AUTHOR
PUB-075,INV-060,AUTHOR
PUB-075,INV-047,AUTHOR
PUB-076,INV-058,AUTHOR
PUB-076,INV-060,AUTHOR
PUB-077,INV-051,AUTHOR
PUB-077,INV-073,AUTHOR
PUB-078,INV-066,AUTHOR
PUB-078,INV-057,AUTHOR
PUB-079,INV-062,AUTHOR
PUB-079,INV-052,AUTHOR
PUB-080,INV-051,AUTHOR
PUB-080,INV-062,AUTHOR
PUB-081,INV-128,AUTHOR
PUB-081,INV-139,AUTHOR
PUB-082,INV-137,AUTHOR
PUB-082,INV-135,AUTHOR
PUB-083,INV-137,AUTHOR
PUB-083,INV-134,AUTHOR
PUB-084,INV-153,AUTHOR
PUB-084,INV-147,AUTHOR
