publication_id,title,abstract,year,publication_type,researchers,keywords,journal_or_event,related_project_id
PUB-001,Permanencia Estudiantil using clasificación supervisada: evidence from a Latin American university,"This publication reports an applied study on permanencia estudiantil using clasificación supervisada, emphasizing traceable evidence and contextual validation.",2019,ARTICLE,INV-101;INV-117,permanencia estudiantil;clasificación supervisada,Journal of Applied Nexus Studies,PRJ-001
PUB-002,Riesgo académico: evidencia aplicada mediante analítica educativa,"Publicación que reporta resultados aplicados sobre riesgo académico mediante analítica educativa, con énfasis en evidencia trazable y validación contextual.",2020,ARTICLE,INV-116;INV-101,riesgo académico;analítica educativa,Journal of Applied Nexus Studies,PRJ-002
PUB-003,Trayectorias educativas: evidencia aplicada mediante modelos longitudinales,"Publicación que reporta resultados aplicados sobre trayectorias educativas mediante modelos longitudinales, con énfasis en evidencia trazable y validación contextual.",2021,ARTICLE,INV-121;INV-106,trayectorias educativas;modelos longitudinales,Journal of Applied Nexus Studies,PRJ-003
PUB-004,Student Attrition using clasificación supervisada: evidence from a Latin American university,"This publication reports an applied study on student attrition using clasificación supervisada, emphasizing traceable evidence and contextual validation.",2022,ARTICLE,INV-122;INV-116,student attrition;clasificación supervisada,Journal of Applied Nexus Studies,PRJ-004
PUB-005,Acompañamiento temprano: evidencia aplicada mediante analítica educativa,"Publicación que reporta resultados aplicados sobre acompañamiento temprano mediante analítica educativa, con énfasis en evidencia trazable y validación contextual.",2023,ARTICLE,INV-115;INV-118,acompañamiento temprano;analítica educativa,Journal of Applied Nexus Studies,PRJ-005
PUB-006,Permanencia estudiantil: evidencia aplicada mediante modelos longitudinales,"Publicación que reporta resultados aplicados sobre permanencia estudiantil mediante modelos longitudinales, con énfasis en evidencia trazable y validación contextual.",2024,ARTICLE,INV-121;INV-124,permanencia estudiantil;modelos longitudinales,Journal of Applied Nexus Studies,PRJ-006
PUB-007,Riesgo Académico using clasificación supervisada: evidence from a Latin American university,"This publication reports an applied study on riesgo académico using clasificación supervisada, emphasizing traceable evidence and contextual validation.",2025,ARTICLE,INV-110;INV-116,riesgo académico;clasificación supervisada,Journal of Applied Nexus Studies,PRJ-007
PUB-008,Trayectorias educativas: evidencia aplicada mediante analítica educativa,"Publicación que reporta resultados aplicados sobre trayectorias educativas mediante analítica educativa, con énfasis en evidencia trazable y validación contextual.",2026,ARTICLE,INV-101;INV-126,trayectorias educativas;analítica educativa,Journal of Applied Nexus Studies,PRJ-008
PUB-009,Student attrition: evidencia aplicada mediante modelos longitudinales,"Publicación que reporta resultados aplicados sobre student attrition mediante modelos longitudinales, con énfasis en evidencia trazable y validación contextual.",2018,ARTICLE,INV-105;INV-127,student attrition;modelos longitudinales,Journal of Applied Nexus Studies,PRJ-001
PUB-010,Acompañamiento Temprano using clasificación supervisada: evidence from a Latin American university,"This publication reports an applied study on acompañamiento temprano using clasificación supervisada, emphasizing traceable evidence and contextual validation.",2019,ARTICLE,INV-101;INV-127,acompañamiento temprano;clasificación supervisada,Journal of Applied Nexus Studies,PRJ-002
PUB-011,Aprendizaje Adaptativo using sistemas recomendadores: evidence from a Latin American university,"This publication reports an applied study on aprendizaje adaptativo using sistemas recomendadores, emphasizing traceable evidence and contextual validation.",2020,ARTICLE,INV-102;INV-104,aprendizaje adaptativo;sistemas recomendadores,Journal of Applied Nexus Studies,PRJ-009
PUB-012,Personalización: evidencia aplicada mediante analítica educativa,"Publicación que reporta resultados aplicados sobre personalización mediante analítica educativa, con énfasis en evidencia trazable y validación contextual.",2021,ARTICLE,INV-108;INV-110,personalización;analítica educativa,Journal of Applied Nexus Studies,PRJ-010
PUB-013,Secuencias de aprendizaje: evidencia aplicada mediante modelamiento de usuarios,"Publicación que reporta resultados aplicados sobre secuencias de aprendizaje mediante modelamiento de usuarios, con énfasis en evidencia trazable y validación contextual.",2022,ARTICLE,INV-101;INV-121,secuencias de aprendizaje;modelamiento de usuarios,Journal of Applied Nexus Studies,PRJ-011
PUB-014,Learning Analytics using sistemas recomendadores: evidence from a Latin American university,"This publication reports an applied study on learning analytics using sistemas recomendadores, emphasizing traceable evidence and contextual validation.",2023,ARTICLE,INV-101;INV-126,learning analytics;sistemas recomendadores,Journal of Applied Nexus Studies,PRJ-012
PUB-015,Perfil del estudiante: evidencia aplicada mediante analítica educativa,"Publicación que reporta resultados aplicados sobre perfil del estudiante mediante analítica educativa, con énfasis en evidencia trazable y validación contextual.",2024,ARTICLE,INV-104;INV-106,perfil del estudiante;analítica educativa,Journal of Applied Nexus Studies,PRJ-013
PUB-016,Aprendizaje adaptativo: evidencia aplicada mediante modelamiento de usuarios,"Publicación que reporta resultados aplicados sobre aprendizaje adaptativo mediante modelamiento de usuarios, con énfasis en evidencia trazable y validación contextual.",2025,ARTICLE,INV-119;INV-126,aprendizaje adaptativo;modelamiento de usuarios,Journal of Applied Nexus Studies,PRJ-014
PUB-017,Personalización using sistemas recomendadores: evidence from a Latin American university,"This publication reports an applied study on personalización using sistemas recomendadores, emphasizing traceable evidence and contextual validation.",2026,ARTICLE,INV-110;INV-105,personalización;sistemas recomendadores,Journal of Applied Nexus Studies,PRJ-015
PUB-018,Secuencias de aprendizaje: evidencia aplicada mediante analítica educativa,"Publicación que reporta resultados aplicados sobre secuencias de aprendizaje mediante analítica educativa, con énfasis en evidencia trazable y validación contextual.",2018,ARTICLE,INV-108;INV-112,secuencias de aprendizaje;analítica educativa,Journal of Applied Nexus Studies,PRJ-016
PUB-019,Learning analytics: evidencia aplicada mediante modelamiento de usuarios,"Publicación que reporta resultados aplicados sobre learning analytics mediante modelamiento de usuarios, con énfasis en evidencia trazable y validación contextual.",2019,ARTICLE,INV-106;INV-110,learning analytics;modelamiento de usuarios,Journal of Applied Nexus Studies,PRJ-009
PUB-020,Perfil Del Estudiante using sistemas recomendadores: evidence from a Latin American university,"This publication reports an applied study on perfil del estudiante using sistemas recomendadores, emphasizing traceable evidence and contextual validation.",2020,ARTICLE,INV-123;INV-106,perfil del estudiante;sistemas recomendadores,Journal of Applied Nexus Studies,PRJ-010
PUB-021,Competencias using procesamiento de lenguaje natural: evidence from a Latin American university,"This publication reports an applied study on competencias using procesamiento de lenguaje natural, emphasizing traceable evidence and contextual validation.",2021,ARTICLE,INV-120;INV-105,competencias;procesamiento de lenguaje natural,Journal of Applied Nexus Studies,PRJ-017
PUB-022,Evidencias de aprendizaje: evidencia aplicada mediante clasificación de textos,"Publicación que reporta resultados aplicados sobre evidencias de aprendizaje mediante clasificación de textos, con énfasis en evidencia trazable y validación contextual.",2022,ARTICLE,INV-100;INV-105,evidencias de aprendizaje;clasificación de textos,Journal of Applied Nexus Studies,PRJ-018
PUB-023,Evaluación formativa: evidencia aplicada mediante analítica curricular,"Publicación que reporta resultados aplicados sobre evaluación formativa mediante analítica curricular, con énfasis en evidencia trazable y validación contextual.",2023,ARTICLE,INV-123;INV-119,evaluación formativa;analítica curricular,Journal of Applied Nexus Studies,PRJ-019
PUB-024,Rubric Analysis using procesamiento de lenguaje natural: evidence from a Latin American university,"This publication reports an applied study on rubric analysis using procesamiento de lenguaje natural, emphasizing traceable evidence and contextual validation.",2024,ARTICLE,INV-100;INV-101,rubric analysis;procesamiento de lenguaje natural,Journal of Applied Nexus Studies,PRJ-020
PUB-025,Resultados de aprendizaje: evidencia aplicada mediante clasificación de textos,"Publicación que reporta resultados aplicados sobre resultados de aprendizaje mediante clasificación de textos, con énfasis en evidencia trazable y validación contextual.",2025,ARTICLE,INV-117;INV-101,resultados de aprendizaje;clasificación de textos,Journal of Applied Nexus Studies,PRJ-021
PUB-026,Competencias: evidencia aplicada mediante analítica curricular,"Publicación que reporta resultados aplicados sobre competencias mediante analítica curricular, con énfasis en evidencia trazable y validación contextual.",2026,ARTICLE,INV-125;INV-121,competencias;analítica curricular,Journal of Applied Nexus Studies,PRJ-022
PUB-027,Evidencias De Aprendizaje using procesamiento de lenguaje natural: evidence from a Latin American university,"This publication reports an applied study on evidencias de aprendizaje using procesamiento de lenguaje natural, emphasizing traceable evidence and contextual validation.",2018,ARTICLE,INV-109;INV-122,evidencias de aprendizaje;procesamiento de lenguaje natural,Journal of Applied Nexus Studies,PRJ-023
PUB-028,Evaluación formativa: evidencia aplicada mediante clasificación de textos,"Publicación que reporta resultados aplicados sobre evaluación formativa mediante clasificación de textos, con énfasis en evidencia trazable y validación contextual.",2019,ARTICLE,INV-120;INV-117,evaluación formativa;clasificación de textos,Journal of Applied Nexus Studies,PRJ-024
PUB-029,Rubric analysis: evidencia aplicada mediante analítica curricular,"Publicación que reporta resultados aplicados sobre rubric analysis mediante analítica curricular, con énfasis en evidencia trazable y validación contextual.",2020,ARTICLE,INV-107;INV-100,rubric analysis;analítica curricular,Journal of Applied Nexus Studies,PRJ-017
PUB-030,Resultados De Aprendizaje using procesamiento de lenguaje natural: evidence from a Latin American university,"This publication reports an applied study on resultados de aprendizaje using procesamiento de lenguaje natural, emphasizing traceable evidence and contextual validation.",2021,ARTICLE,INV-113;INV-117,resultados de aprendizaje;procesamiento de lenguaje natural,Journal of Applied Nexus Studies,PRJ-018
PUB-031,Antecedentes Investigativos using recuperación de información: evidence from a Latin American university,"This publication reports an applied study on antecedentes investigativos using recuperación de información, emphasizing traceable evidence and contextual validation.",2022,ARTICLE,INV-163;INV-177,antecedentes investigativos;recuperación de información,Journal of Applied Nexus Studies,PRJ-025
PUB-032,Similitud conceptual: evidencia aplicada mediante NLP,"Publicación que reporta resultados aplicados sobre similitud conceptual mediante NLP, con énfasis en evidencia trazable y validación contextual.",2023,ARTICLE,INV-160;INV-161,similitud conceptual;NLP,Journal of Applied Nexus Studies,PRJ-026
PUB-033,Trabajos de grado: evidencia aplicada mediante representaciones semánticas,"Publicación que reporta resultados aplicados sobre trabajos de grado mediante representaciones semánticas, con énfasis en evidencia trazable y validación contextual.",2024,ARTICLE,INV-179;INV-175,trabajos de grado;representaciones semánticas,Journal of Applied Nexus Studies,PRJ-027
PUB-034,Research Similarity using recuperación de información: evidence from a Latin American university,"This publication reports an applied study on research similarity using recuperación de información, emphasizing traceable evidence and contextual validation.",2025,ARTICLE,INV-168;INV-155,research similarity;recuperación de información,Journal of Applied Nexus Studies,PRJ-028
