researcher_id,project_id,role
INV-124,PRJ-001,PI
INV-121,PRJ-001,CO_INVESTIGATOR
INV-112,PRJ-002,PI
INV-110,PRJ-002,CO_INVESTIGATOR
INV-100,PRJ-003,PI
INV-114,PRJ-003,CO_INVESTIGATOR
INV-126,PRJ-003,CO_INVESTIGATOR
INV-127,PRJ-004,PI
INV-100,PRJ-004,CO_INVESTIGATOR
INV-105,PRJ-005,PI
INV-114,PRJ-005,CO_INVESTIGATOR
INV-116,PRJ-006,PI
INV-105,PRJ-006,CO_INVESTIGATOR
INV-125,PRJ-006,CO_INVESTIGATOR
INV-114,PRJ-007,PI
INV-102,PRJ-007,CO_INVESTIGATOR
INV-103,PRJ-008,PI
INV-124,PRJ-008,CO_INVESTIGATOR
INV-109,PRJ-009,PI
INV-110,PRJ-009,CO_INVESTIGATOR
INV-118,PRJ-009,CO_INVESTIGATOR
INV-120,PRJ-010,PI
INV-104,PRJ-010,CO_INVESTIGATOR
INV-100,PRJ-011,PI
INV-123,PRJ-011,CO_INVESTIGATOR
INV-119,PRJ-012,PI
INV-126,PRJ-012,CO_INVESTIGATOR
INV-127,PRJ-012,CO_INVESTIGATOR
INV-124,PRJ-013,PI
INV-103,PRJ-013,CO_INVESTIGATOR
INV-121,PRJ-014,PI
INV-111,PRJ-014,CO_INVESTIGATOR
INV-123,PRJ-015,PI
INV-121,PRJ-015,CO_INVESTIGATOR
INV-126,PRJ-015,CO_INVESTIGATOR
INV-106,PRJ-016,PI
INV-112,PRJ-016,CO_INVESTIGATOR
INV-125,PRJ-017,PI
INV-103,PRJ-017,CO_INVESTIGATOR
INV-115,PRJ-018,PI
INV-119,PRJ-018,CO_INVESTIGATOR
INV-122,PRJ-018,CO_INVESTIGATOR
INV-111,PRJ-019,PI
INV-106,PRJ-019,CO_INVESTIGATOR
INV-108,PRJ-020,PI
INV-110,PRJ-020,CO_INVESTIGATOR
INV-127,PRJ-021,PI
INV-103,PRJ-021,CO_INVESTIGATOR
INV-123,PRJ-021,CO_INVESTIGATOR
INV-115,PRJ-022,PI
INV-114,PRJ-022,CO_INVESTIGATOR
INV-122,PRJ-023,PI
INV-111,PRJ-023,CO_INVESTIGATOR
INV-105,PRJ-024,PI
INV-110,PRJ-024,CO_INVESTIGATOR
INV-123,PRJ-024,CO_INVESTIGATOR
INV-157,PRJ-025,PI
INV-164,PRJ-025,CO_INVESTIGATOR
INV-168,PRJ-026,PI
INV-170,PRJ-026,CO_INVESTIGATOR
INV-165,PRJ-027,PI
INV-169,PRJ-027,CO_INVESTIGATOR
INV-161,PRJ-027,CO_INVESTIGATOR
INV-157,PRJ-028,PI
INV-155,PRJ-028,CO_INVESTIGATOR
INV-164,PRJ-029,PI
INV-155,PRJ-029,CO_INVESTIGATOR
INV-174,PRJ-030,PI
INV-159,PRJ-030,CO_INVESTIGATOR
INV-169,PRJ-030,CO_INVESTIGATOR
INV-170,PRJ-031,PI
INV-166,PRJ-031,CO_INVESTIGATOR
INV-171,PRJ-032,PI
INV-156,PRJ-032,CO_INVESTIGATOR
INV-047,PRJ-033,PI
INV-071,PRJ-033,CO_INVESTIGATOR
INV-052,PRJ-033,CO_INVESTIGATOR
INV-064,PRJ-034,PI
INV-057,PRJ-034,CO_INVESTIGATOR
INV-064,PRJ-035,PI
INV-059,PRJ-035,CO_INVESTIGATOR
INV-050,PRJ-036,PI
INV-067,PRJ-036,CO_INVESTIGATOR
INV-046,PRJ-036,CO_INVESTIGATOR
INV-067,PRJ-037,PI
INV-043,PRJ-037,CO_INVESTIGATOR
INV-055,PRJ-038,PI
INV-061,PRJ-038,CO_INVESTIGATOR
INV-064,PRJ-039,PI
INV-068,PRJ-039,CO_INVESTIGATOR
INV-059,PRJ-039,CO_INVESTIGATOR
INV-055,PRJ-040,PI
INV-054,PRJ-040,CO_INVESTIGATOR
INV-045,PRJ-041,PI
INV-049,PRJ-041,CO_INVESTIGATOR
INV-058,PRJ-042,PI
INV-050,PRJ-042,CO_INVESTIGATOR
INV-072,PRJ-042,CO_INVESTIGATOR
INV-065,PRJ-043,PI
INV-072,PRJ-043,CO_INVESTIGATOR
INV-043,PRJ-044,PI
INV-059,PRJ-044,CO_INVESTIGATOR
INV-070,PRJ-045,PI
INV-048,PRJ-045,CO_INVESTIGATOR
INV-050,PRJ-045,CO_INVESTIGATOR
INV-067,PRJ-046,PI
INV-056,PRJ-046,CO_INVESTIGATOR
INV-058,PRJ-047,PI
INV-059,PRJ-047,CO_INVESTIGATOR
INV-071,PRJ-048,PI
INV-045,PRJ-048,CO_INVESTIGATOR
INV-064,PRJ-048,CO_INVESTIGATOR
INV-070,PRJ-049,PI
INV-048,PRJ-049,CO_INVESTIGATOR
INV-055,PRJ-050,PI
INV-064,PRJ-050,CO_INVESTIGATOR
INV-046,PRJ-051,PI
INV-055,PRJ-051,CO_INVESTIGATOR
INV-072,PRJ-051,CO_INVESTIGATOR
INV-052,PRJ-052,PI
INV-068,PRJ-052,CO_INVESTIGATOR
INV-046,PRJ-053,PI
INV-053,PRJ-053,CO_INVESTIGATOR
INV-070,PRJ-054,PI
INV-055,PRJ-054,CO_INVESTIGATOR
INV-054,PRJ-054,CO_INVESTIGATOR
INV-045,PRJ-055,PI
INV-062,PRJ-055,CO_INVESTIGATOR
INV-069,PRJ-056,PI
INV-050,PRJ-056,CO_INVESTIGATOR
INV-045,PRJ-057,PI
INV-055,PRJ-057,CO_INVESTIGATOR
INV-054,PRJ-057,CO_INVESTIGATOR
INV-073,PRJ-058,PI
INV-047,PRJ-058,CO_INVESTIGATOR
INV-043,PRJ-059,PI
INV-050,PRJ-059,CO_INVESTIGATOR
INV-049,PRJ-060,PI
INV-047,PRJ-060,CO_INVESTIGATOR
INV-046,PRJ-060,CO_INVESTIGATOR
INV-068,PRJ-061,PI
INV-064,PRJ-061,CO_INVESTIGATOR
INV-061,PRJ-062,PI
INV-065,PRJ-062,CO_INVESTIGATOR
INV-061,PRJ-063,PI
INV-065,PRJ-063,CO_INVESTIGATOR
INV-056,PRJ-063,CO_INVESTIGATOR
INV-052,PRJ-064,PI
INV-055,PRJ-064,CO_INVESTIGATOR
INV-146,PRJ-065,PI
INV-152,PRJ-065,CO_INVESTIGATOR
INV-149,PRJ-066,PI
INV-146,PRJ-066,CO_INVESTIGATOR
INV-144,PRJ-066,CO_INVESTIGATOR
INV-148,PRJ-067,PI
INV-136,PRJ-067,CO_INVESTIGATOR
INV-132,PRJ-068,PI
INV-130,PRJ-068,CO_INVESTIGATOR
INV-129,PRJ-069,PI
INV-135,PRJ-069,CO_INVESTIGATOR
INV-146,PRJ-069,CO_INVESTIGATOR
INV-153,PRJ-070,PI
INV-136,PRJ-070,CO_INVESTIGATOR
INV-137,PRJ-071,PI
