thesis_id,title,abstract,problem_statement,general_objective,methodology,main_results,conclusions,program_id,graduation_year,keywords,status,repository_reference,research_area,application_context,data_or_population
THS-001,Caracterización de permanencia estudiantil en relación con riesgo académico,"Trabajo de grado que analiza permanencia estudiantil mediante analítica educativa, considerando su relación con riesgo académico en un contexto universitario o aplicado.",Existe conocimiento disperso sobre permanencia estudiantil y no siempre se comprende su relación con riesgo académico.,Analizar permanencia estudiantil mediante analítica educativa para producir evidencia sobre riesgo académico.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender riesgo académico.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2018,permanencia estudiantil;riesgo académico;analítica educativa,APPROVED,repo://thesis/001,Licenciatura en Tecnología e Informática,riesgo académico,synthetic institutional data
THS-002,Evaluación de modelos longitudinales para analizar riesgo académico,"Trabajo de grado que analiza riesgo académico mediante modelos longitudinales, considerando su relación con trayectorias educativas en un contexto universitario o aplicado.",Existe conocimiento disperso sobre riesgo académico y no siempre se comprende su relación con trayectorias educativas.,Analizar riesgo académico mediante modelos longitudinales para producir evidencia sobre trayectorias educativas.,"Revisión de antecedentes, preparación de datos, modelos longitudinales y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender trayectorias educativas.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2019,riesgo académico;trayectorias educativas;modelos longitudinales,APPROVED,repo://thesis/002,Ciencias de la Educación,trayectorias educativas,synthetic institutional data
THS-003,Modelo aplicado para el estudio de trayectorias educativas,"Trabajo de grado que analiza trayectorias educativas mediante clasificación supervisada, considerando su relación con student attrition en un contexto universitario o aplicado.",Existe conocimiento disperso sobre trayectorias educativas y no siempre se comprende su relación con student attrition.,Analizar trayectorias educativas mediante clasificación supervisada para producir evidencia sobre student attrition.,"Revisión de antecedentes, preparación de datos, clasificación supervisada y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender student attrition.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2020,trayectorias educativas;student attrition;clasificación supervisada,APPROVED,repo://thesis/003,Licenciatura en Tecnología e Informática,student attrition,synthetic institutional data
THS-004,Análisis de patrones asociados con acompañamiento temprano,"Trabajo de grado que analiza student attrition mediante analítica educativa, considerando su relación con acompañamiento temprano en un contexto universitario o aplicado.",Existe conocimiento disperso sobre student attrition y no siempre se comprende su relación con acompañamiento temprano.,Analizar student attrition mediante analítica educativa para producir evidencia sobre acompañamiento temprano.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender acompañamiento temprano.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2021,student attrition;acompañamiento temprano;analítica educativa,APPROVED,repo://thesis/004,Ciencias de la Educación,acompañamiento temprano,synthetic institutional data
THS-005,Caracterización de acompañamiento temprano en relación con permanencia estudiantil,"Trabajo de grado que analiza acompañamiento temprano mediante modelos longitudinales, considerando su relación con permanencia estudiantil en un contexto universitario o aplicado.",Existe conocimiento disperso sobre acompañamiento temprano y no siempre se comprende su relación con permanencia estudiantil.,Analizar acompañamiento temprano mediante modelos longitudinales para producir evidencia sobre permanencia estudiantil.,"Revisión de antecedentes, preparación de datos, modelos longitudinales y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender permanencia estudiantil.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2022,acompañamiento temprano;permanencia estudiantil;modelos longitudinales,APPROVED,repo://thesis/005,Ciencias de la Educación,permanencia estudiantil,synthetic institutional data
THS-006,Evaluación de clasificación supervisada para analizar permanencia estudiantil,"Trabajo de grado que analiza permanencia estudiantil mediante clasificación supervisada, considerando su relación con riesgo académico en un contexto universitario o aplicado.",Existe conocimiento disperso sobre permanencia estudiantil y no siempre se comprende su relación con riesgo académico.,Analizar permanencia estudiantil mediante clasificación supervisada para producir evidencia sobre riesgo académico.,"Revisión de antecedentes, preparación de datos, clasificación supervisada y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender riesgo académico.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-011,2023,permanencia estudiantil;riesgo académico;clasificación supervisada,APPROVED,repo://thesis/006,Psicología,riesgo académico,synthetic institutional data
THS-007,Modelo aplicado para el estudio de riesgo académico,"Trabajo de grado que analiza riesgo académico mediante analítica educativa, considerando su relación con trayectorias educativas en un contexto universitario o aplicado.",Existe conocimiento disperso sobre riesgo académico y no siempre se comprende su relación con trayectorias educativas.,Analizar riesgo académico mediante analítica educativa para producir evidencia sobre trayectorias educativas.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender trayectorias educativas.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-011,2024,riesgo académico;trayectorias educativas;analítica educativa,APPROVED,repo://thesis/007,Psicología,trayectorias educativas,synthetic institutional data
THS-008,Análisis de patrones asociados con student attrition,"Trabajo de grado que analiza trayectorias educativas mediante modelos longitudinales, considerando su relación con student attrition en un contexto universitario o aplicado.",Existe conocimiento disperso sobre trayectorias educativas y no siempre se comprende su relación con student attrition.,Analizar trayectorias educativas mediante modelos longitudinales para producir evidencia sobre student attrition.,"Revisión de antecedentes, preparación de datos, modelos longitudinales y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender student attrition.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-011,2025,trayectorias educativas;student attrition;modelos longitudinales,APPROVED,repo://thesis/008,Psicología,student attrition,synthetic institutional data
THS-009,Caracterización de student attrition en relación con acompañamiento temprano,"Trabajo de grado que analiza student attrition mediante clasificación supervisada, considerando su relación con acompañamiento temprano en un contexto universitario o aplicado.",Existe conocimiento disperso sobre student attrition y no siempre se comprende su relación con acompañamiento temprano.,Analizar student attrition mediante clasificación supervisada para producir evidencia sobre acompañamiento temprano.,"Revisión de antecedentes, preparación de datos, clasificación supervisada y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender acompañamiento temprano.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-011,2026,student attrition;acompañamiento temprano;clasificación supervisada,APPROVED,repo://thesis/009,Psicología,acompañamiento temprano,synthetic institutional data
THS-010,Acompañamiento Temprano and permanencia estudiantil: a university case study,"This thesis examines acompañamiento temprano through analítica educativa, with emphasis on permanencia estudiantil and evidence available in an institutional context.",Current approaches provide incomplete understanding of acompañamiento temprano and its implications for permanencia estudiantil.,Evaluate analítica educativa for analyzing acompañamiento temprano in relation to permanencia estudiantil.,"Data preparation, analítica educativa, validation and interpretation.",The study identifies patterns and limitations relevant to permanencia estudiantil.,The approach is useful under defined conditions and requires contextual validation.,PRG-010,2017,acompañamiento temprano;permanencia estudiantil;analítica educativa,APPROVED,repo://thesis/010,Licenciatura en Tecnología e Informática,permanencia estudiantil,synthetic institutional data
THS-011,Modelo aplicado para el estudio de permanencia estudiantil,"Trabajo de grado que analiza permanencia estudiantil mediante modelos longitudinales, considerando su relación con riesgo académico en un contexto universitario o aplicado.",Existe conocimiento disperso sobre permanencia estudiantil y no siempre se comprende su relación con riesgo académico.,Analizar permanencia estudiantil mediante modelos longitudinales para producir evidencia sobre riesgo académico.,"Revisión de antecedentes, preparación de datos, modelos longitudinales y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender riesgo académico.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2018,permanencia estudiantil;riesgo académico;modelos longitudinales,APPROVED,repo://thesis/011,Licenciatura en Tecnología e Informática,riesgo académico,synthetic institutional data
THS-012,Análisis de patrones asociados con trayectorias educativas,"Trabajo de grado que analiza riesgo académico mediante clasificación supervisada, considerando su relación con trayectorias educativas en un contexto universitario o aplicado.",Existe conocimiento disperso sobre riesgo académico y no siempre se comprende su relación con trayectorias educativas.,Analizar riesgo académico mediante clasificación supervisada para producir evidencia sobre trayectorias educativas.,"Revisión de antecedentes, preparación de datos, clasificación supervisada y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender trayectorias educativas.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2019,riesgo académico;trayectorias educativas;clasificación supervisada,APPROVED,repo://thesis/012,Ciencias de la Educación,trayectorias educativas,synthetic institutional data
THS-013,Caracterización de trayectorias educativas en relación con student attrition,"Trabajo de grado que analiza trayectorias educativas mediante analítica educativa, considerando su relación con student attrition en un contexto universitario o aplicado.",Existe conocimiento disperso sobre trayectorias educativas y no siempre se comprende su relación con student attrition.,Analizar trayectorias educativas mediante analítica educativa para producir evidencia sobre student attrition.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender student attrition.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2020,trayectorias educativas;student attrition;analítica educativa,APPROVED,repo://thesis/013,Licenciatura en Tecnología e Informática,student attrition,synthetic institutional data
THS-014,Evaluación de modelos longitudinales para analizar student attrition,"Trabajo de grado que analiza student attrition mediante modelos longitudinales, considerando su relación con acompañamiento temprano en un contexto universitario o aplicado.",Existe conocimiento disperso sobre student attrition y no siempre se comprende su relación con acompañamiento temprano.,Analizar student attrition mediante modelos longitudinales para producir evidencia sobre acompañamiento temprano.,"Revisión de antecedentes, preparación de datos, modelos longitudinales y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender acompañamiento temprano.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2021,student attrition;acompañamiento temprano;modelos longitudinales,APPROVED,repo://thesis/014,Licenciatura en Tecnología e Informática,acompañamiento temprano,synthetic institutional data
THS-015,Modelo aplicado para el estudio de acompañamiento temprano,"Trabajo de grado que analiza acompañamiento temprano mediante clasificación supervisada, considerando su relación con permanencia estudiantil en un contexto universitario o aplicado.",Existe conocimiento disperso sobre acompañamiento temprano y no siempre se comprende su relación con permanencia estudiantil.,Analizar acompañamiento temprano mediante clasificación supervisada para producir evidencia sobre permanencia estudiantil.,"Revisión de antecedentes, preparación de datos, clasificación supervisada y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender permanencia estudiantil.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2022,acompañamiento temprano;permanencia estudiantil;clasificación supervisada,APPROVED,repo://thesis/015,Licenciatura en Tecnología e Informática,permanencia estudiantil,synthetic institutional data
THS-016,Análisis de patrones asociados con riesgo académico,"Trabajo de grado que analiza permanencia estudiantil mediante analítica educativa, considerando su relación con riesgo académico en un contexto universitario o aplicado.",Existe conocimiento disperso sobre permanencia estudiantil y no siempre se comprende su relación con riesgo académico.,Analizar permanencia estudiantil mediante analítica educativa para producir evidencia sobre riesgo académico.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender riesgo académico.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2023,permanencia estudiantil;riesgo académico;analítica educativa,APPROVED,repo://thesis/016,Ciencias de la Educación,riesgo académico,synthetic institutional data
THS-017,Caracterización de riesgo académico en relación con trayectorias educativas,"Trabajo de grado que analiza riesgo académico mediante modelos longitudinales, considerando su relación con trayectorias educativas en un contexto universitario o aplicado.",Existe conocimiento disperso sobre riesgo académico y no siempre se comprende su relación con trayectorias educativas.,Analizar riesgo académico mediante modelos longitudinales para producir evidencia sobre trayectorias educativas.,"Revisión de antecedentes, preparación de datos, modelos longitudinales y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender trayectorias educativas.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2024,riesgo académico;trayectorias educativas;modelos longitudinales,APPROVED,repo://thesis/017,Licenciatura en Tecnología e Informática,trayectorias educativas,synthetic institutional data
THS-018,Evaluación de clasificación supervisada para analizar trayectorias educativas,"Trabajo de grado que analiza trayectorias educativas mediante clasificación supervisada, considerando su relación con student attrition en un contexto universitario o aplicado.",Existe conocimiento disperso sobre trayectorias educativas y no siempre se comprende su relación con student attrition.,Analizar trayectorias educativas mediante clasificación supervisada para producir evidencia sobre student attrition.,"Revisión de antecedentes, preparación de datos, clasificación supervisada y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender student attrition.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2025,trayectorias educativas;student attrition;clasificación supervisada,APPROVED,repo://thesis/018,Ciencias de la Educación,student attrition,synthetic institutional data
THS-019,Modelo aplicado para el estudio de student attrition,"Trabajo de grado que analiza student attrition mediante analítica educativa, considerando su relación con acompañamiento temprano en un contexto universitario o aplicado.",Existe conocimiento disperso sobre student attrition y no siempre se comprende su relación con acompañamiento temprano.,Analizar student attrition mediante analítica educativa para producir evidencia sobre acompañamiento temprano.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender acompañamiento temprano.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-011,2026,student attrition;acompañamiento temprano;analítica educativa,APPROVED,repo://thesis/019,Psicología,acompañamiento temprano,synthetic institutional data
