thesis_id,researcher_id,role
THS-001,INV-114,ADVISOR
THS-002,INV-102,ADVISOR
THS-003,INV-117,ADVISOR
THS-004,INV-121,ADVISOR
THS-005,INV-121,ADVISOR
THS-006,INV-111,ADVISOR
THS-007,INV-106,ADVISOR
THS-008,INV-115,ADVISOR
THS-009,INV-106,ADVISOR
THS-010,INV-101,ADVISOR
THS-011,INV-108,ADVISOR
THS-012,INV-121,ADVISOR
THS-013,INV-108,ADVISOR
THS-014,INV-109,ADVISOR
THS-015,INV-124,ADVISOR
THS-016,INV-127,ADVISOR
THS-017,INV-109,ADVISOR
THS-018,INV-103,ADVISOR
THS-019,INV-110,ADVISOR
THS-020,INV-108,ADVISOR
THS-021,INV-113,ADVISOR
THS-022,INV-127,ADVISOR
THS-023,INV-119,ADVISOR
THS-024,INV-110,ADVISOR
THS-025,INV-110,ADVISOR
THS-026,INV-118,ADVISOR
THS-027,INV-124,ADVISOR
THS-028,INV-108,ADVISOR
THS-029,INV-103,ADVISOR
THS-030,INV-106,ADVISOR
THS-031,INV-119,ADVISOR
THS-032,INV-110,ADVISOR
THS-033,INV-123,ADVISOR
THS-034,INV-117,ADVISOR
THS-035,INV-110,ADVISOR
THS-036,INV-111,ADVISOR
THS-037,INV-100,ADVISOR
THS-038,INV-100,ADVISOR
THS-039,INV-108,ADVISOR
THS-040,INV-122,ADVISOR
THS-041,INV-122,ADVISOR
THS-042,INV-110,ADVISOR
THS-043,INV-122,ADVISOR
THS-044,INV-119,ADVISOR
THS-045,INV-124,ADVISOR
THS-046,INV-109,ADVISOR
THS-047,INV-127,ADVISOR
THS-048,INV-111,ADVISOR
THS-049,INV-121,ADVISOR
THS-050,INV-101,ADVISOR
THS-051,INV-108,ADVISOR
THS-052,INV-115,ADVISOR
THS-053,INV-126,ADVISOR
THS-054,INV-119,ADVISOR
THS-055,INV-106,ADVISOR
THS-056,INV-113,ADVISOR
THS-057,INV-112,ADVISOR
THS-058,INV-100,ADVISOR
THS-059,INV-127,ADVISOR
THS-060,INV-104,ADVISOR
THS-061,INV-166,ADVISOR
THS-062,INV-158,ADVISOR
THS-063,INV-157,ADVISOR
THS-064,INV-158,ADVISOR
THS-065,INV-170,ADVISOR
THS-066,INV-178,ADVISOR
THS-067,INV-162,ADVISOR
THS-068,INV-169,ADVISOR
THS-069,INV-177,ADVISOR
